"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.492601410E1,2.870673150E1,1.159058910E2,7.725852835E1,0.000000000E0,0.000000000E0,5.243835449E0,5.204291821E0
2.592166577E1,2.870673264E1,1.159058935E2,7.747159743E1,0.000000000E0,0.000000000E0,5.283854008E0,5.203426361E0
2.692461509E1,2.870673472E1,1.159058941E2,7.764329340E1,0.000000000E0,0.000000000E0,5.249656677E0,5.018362522E0
2.792032645E1,2.870673420E1,1.159058976E2,7.776052980E1,0.000000000E0,0.000000000E0,5.085732460E0,4.791106701E0
2.892394317E1,2.870673327E1,1.159058961E2,7.816525589E1,0.000000000E0,0.000000000E0,5.042580128E0,4.739758015E0
2.992224645E1,2.870673390E1,1.159059000E2,7.828798753E1,0.000000000E0,0.000000000E0,5.066378593E0,4.807435036E0
3.092372030E1,2.870673139E1,1.159058993E2,7.842024593E1,0.000000000E0,0.000000000E0,5.124055862E0,4.904844284E0
3.192098113E1,2.870672999E1,1.159058983E2,7.838630959E1,0.000000000E0,0.000000000E0,5.057847500E0,4.843458652E0
3.292377264E1,2.870672796E1,1.159059008E2,7.817206296E1,0.000000000E0,0.000000000E0,5.030050755E0,4.825798035E0
3.392402280E1,2.870672972E1,1.159059042E2,7.809765560E1,0.000000000E0,0.000000000E0,5.064725876E0,4.929327488E0
3.492319264E1,2.870673030E1,1.159059048E2,7.832586596E1,0.000000000E0,0.000000000E0,5.183227539E0,5.108407497E0
3.592559488E1,2.870673200E1,1.159059023E2,7.855195247E1,0.000000000E0,0.000000000E0,5.226068974E0,5.176521301E0
3.692245577E1,2.870673425E1,1.159059029E2,7.870509401E1,0.000000000E0,0.000000000E0,5.319618225E0,5.319752216E0
3.792812806E1,2.870673475E1,1.159059013E2,7.865065679E1,0.000000000E0,0.000000000E0,5.298590183E0,5.310094833E0
3.892217436E1,2.870673212E1,1.159059030E2,7.851600094E1,0.000000000E0,0.000000000E0,5.452197552E0,5.500499249E0
3.992232806E1,2.870673370E1,1.159059047E2,7.852973309E1,0.000000000E0,0.000000000E0,5.632005215E0,5.756099701E0
4.092396530E1,2.870673150E1,1.159059083E2,7.837950854E1,0.000000000E0,0.000000000E0,5.406761169E0,5.560744762E0
4.192323353E1,2.870672776E1,1.159059077E2,7.806913633E1,0.000000000E0,0.000000000E0,5.227946281E0,5.297965050E0
4.292202764E1,2.870672635E1,1.159059093E2,7.805045061E1,0.000000000E0,0.000000000E0,5.074113369E0,5.074292183E0
4.392432998E1,2.870672726E1,1.159059118E2,7.794039927E1,0.000000000E0,0.000000000E0,4.982944489E0,4.944744587E0
4.492331962E1,2.870672436E1,1.159059142E2,7.805207833E1,0.000000000E0,0.000000000E0,4.894133091E0,4.836226463E0
4.592420342E1,2.870672376E1,1.159059173E2,7.805603456E1,0.000000000E0,0.000000000E0,4.913520336E0,4.920272350E0
4.692337597E1,2.870672122E1,1.159059194E2,7.816814283E1,0.000000000E0,0.000000000E0,4.848058224E0,4.931748390E0
4.792058462E1,2.870672220E1,1.159059239E2,7.810264112E1,0.000000000E0,0.000000000E0,4.837205887E0,4.967469215E0
4.892588113E1,2.870671827E1,1.159059221E2,7.781680794E1,0.000000000E0,0.000000000E0,4.752071857E0,4.865663528E0
4.992564753E1,2.870672015E1,1.159059204E2,7.798387143E1,0.000000000E0,0.000000000E0,4.631429672E0,4.678711891E0
5.092255884E1,2.870671826E1,1.159059185E2,7.755027828E1,0.000000000E0,0.000000000E0,4.556939125E0,4.554050922E0
5.192219863E1,2.870672017E1,1.159059179E2,7.728734612E1,0.000000000E0,0.000000000E0,4.500885963E0,4.502577782E0
