Time (s),Illuminance (lx)
5.358596889E1,1.738999939E2
5.378596842E1,1.723000031E2
5.398596837E1,1.713000031E2
5.418596837E1,1.718999939E2
5.438596962E1,1.743000031E2
5.458607295E1,1.758000031E2
5.478596837E1,1.753000031E2
5.498596811E1,1.723999939E2
5.518596717E1,1.711999969E2
5.528596837E1,1.720000000E2
5.548596868E1,1.723999939E2
5.568596837E1,1.743999939E2
5.588594748E1,1.753999939E2
5.608596899E1,1.766000061E2
5.628596894E1,1.783999939E2
5.648596842E1,1.803999939E2
5.668596680E1,1.808999939E2
5.688596915E1,1.808999939E2
5.708609894E1,1.815000000E2
5.728596717E1,1.835000000E2
5.748596811E1,1.845000000E2
5.768596863E1,1.868000031E2
5.788596842E1,1.866999969E2
5.808600087E1,1.861000061E2
5.828608217E1,1.858000031E2
5.848596837E1,1.870000000E2
5.868596842E1,1.880000000E2
5.888596816E1,1.890000000E2
5.908598639E1,1.891999969E2
5.928609733E1,1.888000031E2
5.948596842E1,1.891999969E2
5.968596863E1,1.883999939E2
5.988596863E1,1.881000061E2
