Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s)
3.184684580E-1,-2.418955117E-1,4.462239146E-1,-1.331647038E0,1.425101069E0
3.208711660E-1,-2.565558553E-1,4.254551232E-1,-1.324316859E0,1.414442686E0
3.232730930E-1,-2.663294077E-1,4.083513916E-1,-1.319430113E0,1.406619364E0
3.256759060E-1,-2.748812735E-1,3.912476599E-1,-1.315765023E0,1.399954300E0
3.280793950E-1,-2.822114229E-1,3.765873313E-1,-1.312099934E0,1.393939576E0
3.304820520E-1,-2.883199155E-1,3.668137789E-1,-1.308434844E0,1.389130110E0
3.328840310E-1,-2.944283783E-1,3.570402265E-1,-1.307213187E0,1.386712699E0
3.352867390E-1,-2.993151546E-1,3.509317636E-1,-1.304769754E0,1.383895508E0
3.376903330E-1,-3.005368412E-1,3.448232710E-1,-1.303548098E0,1.381471362E0
3.400929890E-1,-3.005368412E-1,3.411581814E-1,-1.303548098E0,1.380561096E0
3.424949160E-1,-2.993151546E-1,3.362714052E-1,-1.302326322E0,1.377941170E0
3.448977290E-1,-2.968717813E-1,3.301629424E-1,-1.302326322E0,1.375933963E0
3.473012180E-1,-2.968717813E-1,3.216110766E-1,-1.301104665E0,1.372749026E0
3.497038750E-1,-2.956500649E-1,3.155026138E-1,-1.301104665E0,1.371066814E0
3.521058540E-1,-2.932066917E-1,3.057290614E-1,-1.301104665E0,1.368325170E0
3.545085620E-1,-2.895416021E-1,2.959555089E-1,-1.301104665E0,1.365392746E0
3.569121560E-1,-2.895416021E-1,2.898470163E-1,-1.301104665E0,1.364081735E0
3.593148120E-1,-2.895416021E-1,2.825168669E-1,-1.298661232E0,1.360209953E0
3.617167390E-1,-2.858765125E-1,2.776300907E-1,-1.297439575E0,1.357259481E0
3.641195520E-1,-2.895416021E-1,2.739650011E-1,-1.293774486E0,1.353788603E0
3.665230410E-1,-2.919849753E-1,2.739650011E-1,-1.290109396E0,1.350812460E0
3.689256970E-1,-2.944283783E-1,2.739650011E-1,-1.284000993E0,1.345512334E0
3.713276770E-1,-3.005368412E-1,2.776300907E-1,-1.277892470E0,1.341793585E0
3.737303850E-1,-3.029802442E-1,2.812951505E-1,-1.268118858E0,1.333810117E0
3.761339790E-1,-3.115321100E-1,2.898470163E-1,-1.258345366E0,1.328343558E0
