,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
2016-02-08 18:29:04.906222,0.71395844,3.33738947,10.0091772
2016-02-08 18:29:05.156222,0.71395844,3.33021092,10.0450697
2016-02-08 18:29:05.406222,0.68015981,3.30867553,10.0713902
2016-02-08 18:29:05.656222,0.69960153,3.32781816,10.1359968
2016-02-08 18:29:05.906222,0.67776704,3.31346107,10.1793671
2016-02-08 18:29:06.156222,0.68524456,3.29671145,10.2344017
2016-02-08 18:29:06.406222,0.6658029,3.26560473,10.2583294
2016-02-08 18:29:06.656222,0.65623158,3.23689079,10.2966147
2016-02-08 18:29:06.906222,0.63708901,3.20578408,10.3277216
2016-02-08 18:29:07.156222,0.65623158,3.18664146,10.3660069
2016-02-08 18:29:07.406222,0.64187467,3.14117789,10.354043
2016-02-08 18:29:07.656222,0.64187467,3.10289288,10.394721
2016-02-08 18:29:07.906222,0.64905316,3.06939316,10.3516502
2016-02-08 18:29:08.156222,0.63230336,3.04307222,10.3564358
2016-02-08 18:29:08.406222,0.63948184,3.02153683,10.3396854
2016-02-08 18:29:08.656222,0.62033927,2.9808588,10.3348999
2016-02-08 18:29:08.906222,0.61316079,3.00478697,10.2918291
2016-02-08 18:29:09.156222,0.6442675,3.01435828,10.2750797
2016-02-08 18:29:09.406222,0.66341007,3.0023942,10.2487583
2016-02-08 18:29:09.656222,0.68524456,2.99282289,10.2296162
2016-02-08 18:29:09.906222,0.68763739,3.0023942,10.1985092
2016-02-08 18:29:10.156222,0.68255264,3.0023942,10.1674023
2016-02-08 18:29:10.406222,0.69242305,2.98564434,10.1168537
2016-02-08 18:29:10.656222,0.69481587,3.0023942,10.0666046
2016-02-08 18:29:10.906222,0.71156561,3.00000143,10.0570335
2016-02-08 18:29:11.156222,0.7187441,2.98564434,9.99242783
2016-02-08 18:29:11.406222,0.72831541,2.98325157,9.97807026
2016-02-08 18:29:11.656222,0.75224364,2.99760866,9.94457054
2016-02-08 18:29:11.906222,0.80010009,3.0023942,9.90389252
2016-02-08 18:29:12.156222,0.80727851,2.98325157,9.8823576
2016-02-08 18:29:12.406222,0.81206417,2.98564434,9.87039375
2016-02-08 18:29:12.656222,0.82881397,2.98803735,9.84407234
2016-02-08 18:29:12.906222,0.85992062,2.9808588,9.84646511
2016-02-08 18:29:13.156222,0.86470628,3.00957274,9.82971573
2016-02-08 18:29:13.406222,0.89342016,2.98564434,9.7818594
