Time (s),Illuminance (lx)
1.6226220972813023e+18,24.0
1.6226220974813217e+18,18.60000038
1.622622097981322e+18,15.5
1.6226220981813207e+18,13.89999962
1.6226220983813092e+18,12.69999981
1.6226220985813194e+18,10.5
1.6226220987813204e+18,10.30000019
1.622622098981322e+18,10.30000019
1.6226220991813038e+18,11.39999962
1.6226220993813181e+18,13.89999962
1.6226220995813215e+18,11.39999962
1.6226220997813225e+18,9.199999809
1.6226220998813174e+18,8.800000191
1.622622100081321e+18,9.300000191
1.6226221002813228e+18,9.300000191
1.6226221004813097e+18,8.699999809
1.622622100681317e+18,8.600000381
1.6226221008813197e+18,7.900000095
1.6226221010813233e+18,7.599999905
1.622622101281303e+18,8.199999809
1.6226221014813327e+18,7.599999905
1.622622101681317e+18,13.60000038
1.622622101881319e+18,8.600000381
1.6226221020813043e+18,8.0
1.6226221022813207e+18,9.399999619
1.6226221024813212e+18,8.199999809
1.6226221026813204e+18,7.5
1.6226221028813033e+18,9.199999809
1.6226221030813207e+18,6.599999905
1.6226221032813207e+18,7.199999809
1.622622103481321e+18,8.399999619
1.6226221036813036e+18,10.10000038
1.622622103881318e+18,7.800000191
1.6226221040813207e+18,9.600000381
1.6226221042813222e+18,9.5
1.6226221044813033e+18,8.0
1.622622104681318e+18,12.19999981
1.6226221048813197e+18,11.69999981
1.6226221050813217e+18,7.800000191
1.6226221052813028e+18,6.699999809
1.6226221054813192e+18,8.800000191
1.6226221056813207e+18,9.5
1.6226221058813181e+18,11.69999981
1.622622106081304e+18,9.399999619
1.6226221062813176e+18,12.10000038
1.6226221064813204e+18,11.80000019
1.622622106681317e+18,10.19999981
1.6226221068813046e+18,14.19999981
1.622622107081318e+18,9.0
1.622622107281322e+18,13.89999962
1.6226221074813233e+18,10.5
1.6226221076813133e+18,12.30000019
1.6226221078813181e+18,11.19999981
1.6226221080813212e+18,9.800000191
1.6226221082813217e+18,12.5
1.6226221084813115e+18,10.69999981
1.6226221086813192e+18,14.30000019
1.6226221088813169e+18,9.699999809
1.6226221090813476e+18,13.69999981
1.622622109281309e+18,10.39999962
1.6226221094813192e+18,12.89999962
1.6226221096813184e+18,10.10000038
1.6226221098813192e+18,10.0
1.6226221100813048e+18,10.5
1.6226221102813197e+18,10.60000038
1.6226221104813228e+18,12.39999962
1.6226221106813194e+18,9.5
1.6226221108813028e+18,12.10000038
1.6226221110813033e+18,9.600000381
1.6226221112813212e+18,11.80000019
1.6226221114813258e+18,9.5
1.6226221116813046e+18,12.19999981
1.6226221118813181e+18,10.30000019
1.6226221120813184e+18,12.60000038
1.6226221122813222e+18,10.10000038
1.6226221124813036e+18,12.80000019
1.6226221126813046e+18,9.800000191
1.6226221128813192e+18,11.39999962
1.622622113081323e+18,9.5
1.622622113281303e+18,9.899999619
1.62262211348132e+18,9.0
1.6226221136812695e+18,9.699999809
1.6226221138813202e+18,9.199999809
1.622622114081303e+18,10.60000038
1.6226221142813092e+18,9.699999809
1.6226221144813082e+18,9.0
1.6226221146813322e+18,10.39999962
1.62262211488133e+18,9.699999809
1.6226221150813197e+18,9.199999809
1.6226221152813302e+18,9.0
1.6226221154813307e+18,8.199999809
1.622622115681333e+18,7.199999809
1.62262211588131e+18,6.800000191
1.622622116081329e+18,6.800000191
1.622622116281335e+18,6.800000191
1.6226221164813338e+18,7.099999905
1.6226221166813097e+18,7.400000095
1.6226221168813294e+18,6.5
1.6226221170813335e+18,5.699999809
1.622622117281333e+18,5.900000095
1.6226221174813102e+18,4.800000191
1.622622117681308e+18,5.099999905
1.6226221178813297e+18,5.199999809
1.6226221180813335e+18,5.900000095
1.6226221182813092e+18,5.900000095
1.622622118481331e+18,5.599999905
1.622622118681333e+18,5.5
1.6226221188813292e+18,5.300000191
1.622622119081309e+18,5.199999809
1.6226221192813292e+18,5.599999905
1.6226221194813322e+18,5.900000095
1.6226221196813317e+18,6.099999905
1.6226221198813107e+18,6.5
1.6226221200813082e+18,6.300000191
1.6226221202813325e+18,6.400000095
1.6226221204813327e+18,6.699999809
1.6226221206813097e+18,6.400000095
1.6226221208813297e+18,6.699999809
1.622622121081332e+18,6.800000191
1.6226221212813307e+18,6.300000191
1.6226221214813087e+18,6.699999809
1.6226221216813084e+18,6.199999809
1.6226221218813297e+18,5.900000095
1.6226221220813327e+18,5.900000095
1.622622122281317e+18,6.099999905
1.6226221224813076e+18,5.900000095
1.622622122681332e+18,5.0
1.6226221228813307e+18,5.099999905
1.6226221230813164e+18,5.5
1.6226221231813322e+18,5.199999809
1.6226221233813297e+18,5.800000191
1.6226221235813094e+18,6.400000095
1.6226221237813307e+18,5.699999809
1.6226221239813332e+18,6.5
1.6226221241813097e+18,6.599999905
1.6226221243813169e+18,6.5
1.6226221245813302e+18,6.599999905
1.62262212478133e+18,6.699999809
1.622622124981334e+18,6.699999809
1.6226221251813207e+18,6.699999809
1.6226221253813302e+18,6.199999809
1.6226221255813356e+18,5.900000095
1.6226221257813332e+18,6.199999809
1.622622125981322e+18,5.800000191
1.6226221261813087e+18,4.400000095
1.6226221263813345e+18,4.300000191
1.6226221265813327e+18,4.199999809
1.6226221267813112e+18,4.199999809
1.6226221269813292e+18,4.300000191
1.6226221271813322e+18,4.800000191
1.6226221273813297e+18,4.599999905
1.6226221275813107e+18,5.0
1.622622127781308e+18,4.699999809
1.6226221279813327e+18,4.800000191
1.6226221281813322e+18,4.900000095
1.62262212838131e+18,5.400000095
1.6226221285813094e+18,5.5
1.6226221287813322e+18,5.099999905
1.6226221289813332e+18,5.599999905
1.6226221291813107e+18,5.699999809
1.6226221293813097e+18,5.599999905
1.6226221295813325e+18,6.0
1.6226221297813345e+18,5.800000191
1.6226221299813094e+18,5.800000191
1.6226221301813312e+18,6.199999809
1.6226221303813294e+18,7.900000095
1.6226221305813338e+18,10.30000019
1.622622130781316e+18,12.80000019
1.6226221309813128e+18,14.60000038
