"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
5.244796727E1,2.869228119E1,1.158793901E2,2.269961939E1,1.822161865E1,4.309999943E0,2.058999939E2,5.853408648E-2,3.790092468E0,2.500000000E0,3.500000000E1
5.345026977E1,2.869223444E1,1.158793667E2,2.257394991E1,1.809600830E1,5.119999886E0,2.051999969E2,6.438957446E-2,3.790092468E0,2.500000000E0,3.500000000E1
5.444930389E1,2.869218652E1,1.158793418E2,2.258622097E1,1.810833740E1,5.780000210E0,2.055000000E2,7.083926336E-2,3.790092468E0,2.500000000E0,3.500000000E1
5.544638946E1,2.869213566E1,1.158793100E2,2.241723031E1,1.793939209E1,6.400000095E0,2.055000000E2,7.831858760E-2,3.790092468E0,2.500000000E0,3.500000000E1
5.645369607E1,2.869207653E1,1.158792734E2,2.198797712E1,1.751019287E1,7.079999924E0,2.066999969E2,8.556343596E-2,3.790092468E0,2.500000000E0,3.500000000E1
5.744998487E1,2.869201735E1,1.158792424E2,2.156413936E1,1.708642578E1,7.510000229E0,2.075000000E2,9.291905798E-2,3.790092468E0,2.500000000E0,3.500000000E1
5.845308081E1,2.869195931E1,1.158792062E2,2.198230019E1,1.750463867E1,7.539999962E0,2.183000031E2,1.012435773E-1,3.790092468E0,2.500000000E0,3.500000000E1
5.944914571E1,2.869189117E1,1.158791708E2,2.199607251E1,1.751849365E1,8.529999733E0,2.055000000E2,1.099837756E-1,3.790092468E0,2.500000000E0,3.500000000E1
6.044711253E1,2.869182220E1,1.158791279E2,2.193070299E1,1.745318604E1,8.869999886E0,2.090000000E2,1.186052198E-1,3.790092468E0,2.500000000E0,3.500000000E1
6.145228925E1,2.869175745E1,1.158790792E2,2.242658052E1,1.794909668E1,8.590000153E0,2.111000061E2,1.280768847E-1,3.790092468E0,2.500000000E0,3.500000000E1
6.245021123E1,2.869168325E1,1.158790316E2,2.178833471E1,1.731091309E1,9.020000458E0,2.121999969E2,1.364954382E-1,3.790092468E0,2.500000000E0,3.500000000E1
6.345422550E1,2.869161787E1,1.158789880E2,2.213941967E1,1.766204834E1,9.300000191E0,2.133999939E2,1.463861591E-1,3.790092468E0,2.500000000E0,3.500000000E1
6.446049414E1,2.869154226E1,1.158789346E2,2.248830881E1,1.801098633E1,9.810000420E0,2.120000000E2,1.564658342E-1,3.790092468E0,2.500000000E0,3.400000000E1
6.545048211E1,2.869146413E1,1.158788822E2,2.241348183E1,1.793621826E1,9.949999809E0,2.121000061E2,1.667348332E-1,3.790092468E0,2.500000000E0,3.400000000E1
6.644691336E1,2.869138479E1,1.158788284E2,2.210031367E1,1.762310791E1,1.023999977E1,2.121999969E2,1.771175408E-1,3.790092468E0,2.500000000E0,3.400000000E1
6.744907977E1,2.869130591E1,1.158787714E2,2.176396273E1,1.728680420E1,1.039000034E1,2.118000031E2,1.875411675E-1,3.790092468E0,2.500000000E0,3.400000000E1
6.845027680E1,2.869122649E1,1.158787146E2,2.130950670E1,1.683239746E1,1.057999992E1,2.108000031E2,1.985313924E-1,3.790092468E0,2.500000000E0,3.500000000E1
6.945101779E1,2.869113997E1,1.158786602E2,2.075620804E1,1.627917480E1,1.073999977E1,2.086000061E2,2.093641463E-1,3.790092468E0,2.500000000E0,3.500000000E1
7.044772268E1,2.869105407E1,1.158786078E2,2.056624710E1,1.608929443E1,1.088000011E1,2.093999939E2,2.205105563E-1,3.790092468E0,2.500000000E0,3.500000000E1
7.145351555E1,2.869096553E1,1.158785542E2,2.043176336E1,1.595489502E1,1.102000046E1,2.080000000E2,2.315329376E-1,3.790092468E0,2.500000000E0,3.600000000E1
7.245405956E1,2.869087710E1,1.158785031E2,2.033633482E1,1.585955811E1,1.109000015E1,2.076999969E2,2.427842860E-1,3.790092468E0,2.500000000E0,3.600000000E1
7.345032487E1,2.869078608E1,1.158784527E2,2.009905134E1,1.562237549E1,1.114000034E1,2.068000031E2,2.539818346E-1,3.790092468E0,2.500000000E0,3.600000000E1
7.444930450E1,2.869069684E1,1.158783995E2,2.026235500E1,1.578576660E1,1.117000008E1,2.071999969E2,2.654014551E-1,3.790092468E0,2.500000000E0,3.700000000E1
7.545789612E1,2.869060560E1,1.158783458E2,2.005297409E1,1.557647705E1,1.127999973E1,2.058999939E2,2.773031256E-1,3.790092468E0,2.500000000E0,3.700000000E1
7.644772112E1,2.869051019E1,1.158782905E2,1.952205310E1,1.504565430E1,1.150000000E1,2.056000061E2,2.892473115E-1,3.790092468E0,2.500000000E0,3.700000000E1
7.745203716E1,2.869041383E1,1.158782364E2,1.892441443E1,1.444812012E1,1.164999962E1,2.063000031E2,3.012720373E-1,3.790092468E0,2.500000000E0,3.700000000E1
7.844860601E1,2.869031763E1,1.158781801E2,1.870642154E1,1.423022461E1,1.189000034E1,2.076999969E2,3.134370152E-1,3.790092468E0,2.500000000E0,3.600000000E1
