,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
2/8/16 19:21,0.036191441,3.58654213,9.195318222
2/8/16 19:21,0.029012974,3.600898981,9.20010376
2/8/16 19:21,0.031405795,3.598506212,9.180961609
2/8/16 19:21,0.026620151,3.584149122,9.168996811
2/8/16 19:21,0.005084748,3.591327667,9.164211273
2/8/16 19:21,-0.00209372,3.605684519,9.142676353
2/8/16 19:21,-0.014057833,3.605684519,9.140283585
2/8/16 19:21,-0.006879365,3.60329175,9.125926018
2/8/16 19:21,-0.014057833,3.600898981,9.118747711
2/8/16 19:21,-0.035593238,3.615255833,9.101998329
2/8/16 19:21,-0.033200413,3.629612923,9.109176636
2/8/16 19:21,-0.033200413,3.624827147,9.094820023
2/8/16 19:21,-0.057128642,3.641577005,9.097212791
2/8/16 19:21,-0.026021946,3.63439846,9.078069687
2/8/16 19:21,-0.009272188,3.636791229,9.085248947
2/8/16 19:21,-0.018843478,3.627219915,9.056534767
2/8/16 19:21,-0.0212363,3.620041609,9.068498611
2/8/16 19:21,-0.00209372,3.627219915,9.049356461
2/8/16 19:21,-0.028414769,3.608077526,9.049356461
2/8/16 19:21,-0.018843478,3.624827147,9.092427254
2/8/16 19:21,-0.014057833,3.608077526,9.075676918
2/8/16 19:21,-0.0212363,3.620041609,9.07089138
2/8/16 19:21,-0.009272188,3.615255833,9.066105843
2/8/16 19:21,-0.028414769,3.593720436,9.082855225
2/8/16 19:21,-0.018843478,3.598506212,9.063713074
2/8/16 19:21,-0.042771704,3.605684519,9.068498611
2/8/16 19:21,-0.04755735,3.598506212,9.094820023
2/8/16 19:21,-0.061914288,3.610470295,9.078069687
2/8/16 19:21,-0.102592275,3.600898981,9.080462456
2/8/16 19:21,-0.090628155,3.612863064,9.09960556
2/8/16 19:21,-0.095413804,3.608077526,9.097212791
2/8/16 19:21,-0.083449692,3.622434378,9.090034485
2/8/16 19:21,-0.097806625,3.632005692,9.063713074
2/8/16 19:21,-0.095413804,3.627219915,9.056534767
2/8/16 19:21,-0.088235334,3.600898981,9.056534767
2/8/16 19:21,-0.085842513,3.620041609,9.073284149
2/8/16 19:21,-0.078664042,3.639184237,9.037391663
2/8/16 19:21,-0.085842513,3.60329175,9.037391663
2/8/16 19:21,-0.0738784,3.620041609,9.051749229
2/8/16 19:21,-0.069092751,3.615255833,9.049356461
2/8/16 19:21,-0.088235334,3.620041609,9.0421772
2/8/16 19:21,-0.069092751,3.622434378,9.056534767
2/8/16 19:21,-0.093020983,3.622434378,9.061320305
2/8/16 19:21,-0.090628155,3.646362543,9.087641716
2/8/16 19:21,-0.0738784,3.63439846,9.094820023
2/8/16 19:21,-0.081056871,3.658326626,9.092427254
2/8/16 19:21,-0.0738784,3.636791229,9.137890816
2/8/16 19:21,-0.054735817,3.632005692,9.118747711
2/8/16 19:21,-0.059521463,3.639184237,9.130712509
2/8/16 19:21,-0.026021946,3.627219915,9.125926018
