"Time (s)","Illuminance (lx)"
3.854431006E1,8.190000153E1
3.874432943E1,7.900000000E1
3.894433058E1,7.269999695E1
3.914433266E1,7.100000000E1
3.934431084E1,6.780000305E1
3.954433261E1,6.740000153E1
3.974433026E1,6.480000305E1
3.994433157E1,6.469999695E1
4.014432136E1,6.590000153E1
4.034433110E1,6.790000153E1
4.054433130E1,6.780000305E1
4.074433110E1,6.740000153E1
4.094430948E1,6.790000153E1
4.114433032E1,6.730000305E1
4.134433339E1,6.840000153E1
4.154433240E1,6.930000305E1
4.174431729E1,7.040000153E1
4.194433058E1,7.090000153E1
4.214433089E1,7.019999695E1
4.234435328E1,6.880000305E1
4.254432042E1,6.900000000E1
4.274433026E1,6.809999847E1
4.294433026E1,6.950000000E1
4.314433318E1,6.969999695E1
4.334431032E1,6.940000153E1
4.354432974E1,6.980000305E1
4.374433084E1,6.890000153E1
4.394432927E1,6.959999847E1
4.414431000E1,6.980000305E1
4.434432948E1,6.950000000E1
4.454433266E1,7.159999847E1
4.474433136E1,7.009999847E1
4.484433214E1,7.290000153E1
4.504433261E1,7.190000153E1
4.524432271E1,7.240000153E1
4.544430917E1,7.250000000E1
4.564433240E1,7.159999847E1
4.584433344E1,7.090000153E1
4.604434464E1,7.080000305E1
4.624431813E1,7.119999695E1
4.644433104E1,7.169999695E1
4.664433339E1,7.209999847E1
4.684434620E1,7.469999695E1
4.704431568E1,7.509999847E1
4.724433032E1,7.759999847E1
4.744433188E1,7.309999847E1
4.764434594E1,7.569999695E1
4.784431000E1,9.180000305E1
4.804433188E1,1.181999969E2
4.824433052E1,1.423999939E2
4.844434412E1,1.425000000E2
4.864431068E1,1.591000061E2
4.884433459E1,1.716000061E2
4.904433365E1,1.440000000E2
4.924433881E1,1.215999985E2
4.944431094E1,2.001999969E2
4.964433240E1,1.041999969E2
4.984432995E1,8.409999847E1
5.004433235E1,2.358999939E2
5.024432448E1,2.852000122E2
5.044433026E1,2.313999939E2
5.064433334E1,2.045000000E2
5.084433292E1,1.958000031E2
5.104430964E1,1.710000000E2
5.124433084E1,1.401000061E2
5.144433058E1,1.196999969E2
5.164431427E1,1.141999969E2
