"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.404021630E1,-1.587815952E1,2.937593460E1,3.534096527E1
2.405021630E1,-1.587965202E1,3.084307861E1,3.485964966E1
2.406021630E1,-1.525956535E1,2.963145065E1,3.210334778E1
2.407021630E1,-1.572389317E1,3.168817139E1,3.206798553E1
2.408021630E1,-1.649346733E1,3.283955765E1,3.095215607E1
2.409021630E1,-1.910633850E1,3.233448029E1,2.934536743E1
2.410021630E1,-1.987645149E1,3.450614929E1,2.744388580E1
2.411021630E1,-2.156740189E1,3.431916046E1,2.647541046E1
2.412021630E1,-2.079897118E1,3.463028336E1,2.680044556E1
2.413021630E1,-2.325815201E1,3.398476410E1,2.550863647E1
2.414021630E1,-2.264305496E1,3.529993439E1,2.411582947E1
2.415021630E1,-2.295023346E1,3.543341064E1,2.348757935E1
2.416021630E1,-2.202884483E1,3.489020920E1,2.568349457E1
2.417021630E1,-2.402593994E1,3.395455933E1,2.425177002E1
2.418021630E1,-2.402706718E1,3.440373993E1,2.471083832E1
2.419021630E1,-2.556430054E1,3.393121338E1,2.421377563E1
2.420021630E1,-2.325675964E1,3.396623230E1,2.427076721E1
2.421021630E1,-2.310387611E1,3.166561508E1,2.801556396E1
2.422021630E1,-2.248931885E1,3.400106812E1,2.583709717E1
2.423021630E1,-2.218176842E1,3.371786880E1,2.631232452E1
2.424021630E1,-2.248831177E1,3.326402283E1,2.584565735E1
2.425021630E1,-2.540686798E1,3.417509079E1,2.065528870E1
2.426021630E1,-2.817279434E1,3.597294998E1,1.545844269E1
2.427021630E1,-2.770889664E1,3.710595322E1,1.189727783E1
2.428021630E1,-3.032034683E1,3.643724823E1,9.209068298E0
2.429021630E1,-2.955023384E1,3.701539612E1,7.673889160E0
2.430021630E1,-2.893492508E1,3.905139923E1,5.189392090E0
2.431021630E1,-2.662825203E1,4.184781647E1,2.583381653E0
2.432021630E1,-2.708640289E1,4.150661469E1,-5.506134033E-2
2.433021630E1,-2.646611404E1,4.014758301E1,-2.809646606E0
2.434021630E1,-2.631043816E1,4.142795563E1,-6.070655823E0
2.435021630E1,-2.630607224E1,4.035671616E1,-8.689140320E0
2.436021630E1,-2.615057755E1,4.077116394E1,-1.070200348E1
2.437021630E1,-2.306908607E1,3.945179749E1,-1.324108124E1
2.438021630E1,-2.399114037E1,3.985916901E1,-1.466159821E1
2.439021630E1,-2.306614876E1,4.042575836E1,-1.712139130E1
2.440021630E1,-2.198578835E1,3.750086594E1,-1.659636688E1
2.441021630E1,-2.306404114E1,3.938462448E1,-1.772834015E1
2.442021630E1,-2.229420090E1,3.866388702E1,-1.739131927E1
2.443021630E1,-2.244738770E1,3.981071472E1,-1.942035675E1
2.444021630E1,-2.229272842E1,3.821007919E1,-1.815985870E1
2.445021630E1,-1.983111382E1,3.882316589E1,-1.903430939E1
2.446021630E1,-2.214093399E1,3.983159637E1,-1.832961273E1
2.447021630E1,-1.906360054E1,4.030430222E1,-1.934189606E1
2.448021630E1,-1.998584747E1,3.897750854E1,-1.842087555E1
2.449021630E1,-2.367606354E1,3.831794739E1,-1.943363190E1
2.450021630E1,-2.291239357E1,4.086336517E1,-1.758693695E1
2.451021630E1,-2.291239357E1,4.086336517E1,-1.758693695E1
2.452021630E1,-2.306498337E1,3.794991302E1,-1.508075714E1
2.453021630E1,-2.306498337E1,3.794991302E1,-1.508075714E1
2.454021630E1,-2.383646393E1,3.999501801E1,-1.558792877E1
2.455021630E1,-2.230018997E1,4.004615784E1,-1.369312286E1
2.456021630E1,-2.215006256E1,4.038732147E1,-1.075283051E1
2.457021630E1,-2.368882561E1,4.065879059E1,-1.079424286E1
2.458021630E1,-2.384659958E1,4.128778839E1,-8.019691467E0
2.459021630E1,-2.215665436E1,4.221182251E1,-7.059761047E0
2.460021630E1,-2.215887833E1,4.296508026E1,-5.985191345E0
2.461021630E1,-2.093380928E1,4.334806061E1,-1.316223145E0
2.462021630E1,-2.140150833E1,4.487073898E1,2.368850708E0
2.463021630E1,-2.217223549E1,4.386658096E1,4.992309570E0
2.464021630E1,-2.048176003E1,4.290209198E1,7.831283569E0
2.465021630E1,-2.017887497E1,4.253633881E1,1.264075470E1
2.466021630E1,-1.986959267E1,4.136173248E1,1.266204834E1
2.467021630E1,-1.910458755E1,4.142899704E1,1.639463806E1
2.468021630E1,-1.925644493E1,3.922942352E1,1.734492493E1
2.469021630E1,-1.756810379E1,3.945115662E1,2.063440704E1
2.470021630E1,-1.879994583E1,3.727693176E1,2.434328461E1
2.471021630E1,-1.834104729E1,3.731867981E1,2.667568207E1
2.472021630E1,-1.803231430E1,3.629611969E1,2.700473785E1
2.473021630E1,-1.725997543E1,3.337119675E1,2.783164215E1
2.474021630E1,-1.757025719E1,3.340127182E1,3.014504242E1
2.475021630E1,-1.510931873E1,3.301029587E1,3.113937378E1
2.476021630E1,-1.526728344E1,3.465493774E1,3.281880951E1
2.477021630E1,-1.480465889E1,3.334452438E1,3.346454620E1
2.478021630E1,-1.341687393E1,3.173014069E1,3.258917236E1
2.479021630E1,-1.433885670E1,3.083399582E1,3.273138428E1
2.480021630E1,-1.403078270E1,3.054384232E1,3.274240112E1
2.481021630E1,-1.403333664E1,3.303821945E1,3.193963623E1
2.482021630E1,-1.310889149E1,3.100702667E1,3.322425842E1
2.483021630E1,-1.526451874E1,3.288139725E1,3.252988434E1
2.484021630E1,-1.526331902E1,3.387851715E1,3.019689941E1
2.485021630E1,-1.372732067E1,3.538058472E1,3.052724457E1
2.486021630E1,-1.403232956E1,3.505098724E1,2.851152802E1
2.487021630E1,-1.572569656E1,3.663290405E1,2.752249908E1
2.488021630E1,-1.726445198E1,3.777262115E1,2.638768005E1
2.489021630E1,-1.834017754E1,3.730709839E1,2.590201569E1
2.490021630E1,-1.926314926E1,3.888448334E1,2.384886169E1
2.491021630E1,-1.833796310E1,3.843541718E1,2.248419189E1
2.492021630E1,-2.002983665E1,3.855019379E1,2.197648621E1
2.493021630E1,-2.141131401E1,3.892276764E1,1.868775177E1
2.494021630E1,-2.094874191E1,3.790254211E1,1.902060699E1
2.495021630E1,-2.095034409E1,3.720024109E1,2.135016632E1
2.496021630E1,-2.156310844E1,3.730125427E1,1.885752106E1
2.497021630E1,-2.325708961E1,3.570734406E1,2.239343262E1
2.498021630E1,-2.264251518E1,3.702946472E1,2.146482086E1
2.499021630E1,-2.310026932E1,3.552520752E1,1.992321014E1
2.500021630E1,-2.295007706E1,3.644442749E1,2.208300018E1
2.501021630E1,-2.156578064E1,3.675794220E1,2.195903778E1
2.502021630E1,-2.018189621E1,3.649803162E1,2.292505646E1
2.503021630E1,-2.079930115E1,3.637139511E1,2.492310333E1
2.504021630E1,-2.064114571E1,3.646091461E1,2.090213013E1
2.505021630E1,-2.248762512E1,3.788614655E1,1.944680786E1
2.506021630E1,-2.694347000E1,3.861487961E1,1.344648743E1
2.507021630E1,-2.617112350E1,3.930800629E1,9.743331909E0
2.508021630E1,-2.586081314E1,3.913283539E1,7.586380005E0
2.509021630E1,-2.555335045E1,4.116648865E1,5.249008179E0
2.510021630E1,-2.216700745E1,4.191551971E1,2.693565369E0
2.511021630E1,-2.293448639E1,4.115753174E1,2.064201355E0
2.512021630E1,-2.462437439E1,4.269313049E1,-2.019493103E0
2.513021630E1,-2.385042572E1,4.133874512E1,-4.615554810E0
2.514021630E1,-2.215700150E1,4.221645355E1,-6.750297546E0
2.515021630E1,-2.122877693E1,4.129273224E1,-1.027610016E1
2.516021630E1,-1.984132195E1,4.141945648E1,-1.302880096E1
2.517021630E1,-1.937650681E1,4.138245392E1,-1.595734406E1
2.518021630E1,-2.091500473E1,4.208457184E1,-1.677756500E1
2.519021630E1,-1.937370682E1,4.033206177E1,-1.718321991E1
2.520021630E1,-1.890859032E1,3.869903183E1,-1.839086151E1
2.521021630E1,-1.752392197E1,3.886281967E1,-1.866783905E1
2.522021630E1,-1.813746071E1,3.940837097E1,-2.101088715E1
2.523021630E1,-1.583287811E1,3.948276901E1,-1.832343292E1
2.524021630E1,-1.690733147E1,3.871085358E1,-1.957933807E1
2.525021630E1,-1.675580215E1,3.990172577E1,-1.897029877E1
2.526021630E1,-1.583194447E1,4.004924393E1,-1.987761688E1
2.527021630E1,-1.659870720E1,3.826866150E1,-1.987606049E1
2.528021630E1,-1.690773392E1,3.900567245E1,-1.958277130E1
2.529021630E1,-1.691162491E1,4.122838974E1,-1.883478546E1
2.530021630E1,-1.721798897E1,3.889065170E1,-1.711290741E1
2.531021630E1,-1.768228912E1,4.080228424E1,-1.699184418E1
2.532021630E1,-1.968401527E1,4.050722885E1,-1.502628326E1
2.533021630E1,-1.937793541E1,4.067783356E1,-1.378250885E1
2.534021630E1,-1.984568787E1,4.249069977E1,-1.041033173E1
2.535021630E1,-1.969041634E1,4.131607819E1,-1.023810577E1
2.536021630E1,-2.046401787E1,4.266583252E1,-7.951499939E0
2.537021630E1,-2.046401787E1,4.266583252E1,-7.951499939E0
2.538021630E1,-2.047006798E1,4.347004700E1,-3.472801208E0
2.539021630E1,-2.047006798E1,4.347004700E1,-3.472801208E0
2.540021630E1,-1.739642334E1,4.326824951E1,-2.987213135E-1
2.541021630E1,-1.878205681E1,4.268307495E1,1.375999451E0
2.542021630E1,-1.848093033E1,4.335382080E1,6.482940674E0
2.543021630E1,-1.909745598E1,4.133403015E1,1.005058289E1
2.544021630E1,-1.740832520E1,4.197946167E1,1.209706116E1
2.545021630E1,-1.756327057E1,4.141296387E1,1.380217743E1
2.546021630E1,-1.694774246E1,3.953841782E1,1.600588989E1
2.547021630E1,-1.818046188E1,3.925734711E1,1.814518738E1
2.548021630E1,-1.848894119E1,3.709249878E1,2.156740570E1
2.549021630E1,-1.602859879E1,3.526218414E1,2.489984894E1
2.550021630E1,-1.679576492E1,3.377641678E1,2.489797211E1
2.551021630E1,-1.772244263E1,3.294281006E1,2.921797943E1
2.552021630E1,-1.587554169E1,3.295924377E1,2.848990631E1
2.553021630E1,-1.602994537E1,3.137247086E1,3.098067474E1
2.554021630E1,-1.510865879E1,3.227788162E1,3.145738983E1
2.555021630E1,-1.449402046E1,3.142824173E1,3.318492889E1
2.556021630E1,-1.510765171E1,3.154083633E1,3.146595001E1
2.557021630E1,-1.510993099E1,3.258428192E1,3.222763824E1
2.558021630E1,-1.341560173E1,3.142374039E1,3.181893158E1
2.559021630E1,-1.510966587E1,3.301492691E1,3.144882965E1
