"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.854711540E-1,6.484515667E0,7.600383282E0,-9.753111601E-1
5.905285490E-1,5.867728233E0,7.393722057E0,6.278812885E-2
5.955841740E-1,5.547616482E0,7.023542881E0,1.159476995E0
6.006683410E-1,5.426176548E0,6.432322025E0,2.216218233E0
6.057016740E-1,5.457602024E0,5.274913311E0,3.113170147E0
6.107890180E-1,5.690894604E0,3.429344654E0,3.682553530E0
6.158214660E-1,6.042431355E0,1.529447079E0,3.826896667E0
6.208562580E-1,6.379587650E0,2.772298455E-1,3.519035339E0
6.259305290E-1,6.577726364E0,-1.920187473E-1,2.853245974E0
6.310865700E-1,6.596368313E0,-2.569997907E-1,1.986654043E0
6.360469870E-1,6.493037701E0,-2.649892867E-1,1.133910656E0
6.411363100E-1,6.287974834E0,-2.149219066E-1,5.299062133E-1
6.461603200E-1,5.890099049E0,-3.435974568E-2,3.285713494E-1
6.512768830E-1,5.387826920E0,2.069224566E-1,5.006114244E-1
6.562815700E-1,4.936688423E0,5.025330782E-1,8.814431429E-1
6.613318310E-1,4.589412212E0,7.411521077E-1,1.179716945E0
6.663973510E-1,4.342803478E0,9.941522479E-1,1.242034912E0
6.714452160E-1,4.188873291E0,1.421322823E0,1.139236927E0
6.765157890E-1,4.108978271E0,1.917203069E0,9.474894404E-1
6.815504760E-1,4.016300201E0,2.304959059E0,7.014135718E-1
6.866298510E-1,3.790464640E0,2.461552858E0,4.691861570E-1
6.916754760E-1,3.362228632E0,2.351830721E0,3.679861426E-1
6.967478200E-1,2.794443130E0,1.976325154E0,4.659903646E-1
7.017841740E-1,2.236245155E0,1.470857620E0,7.253820300E-1
7.068616740E-1,1.825586200E0,9.243774414E-1,1.018329501E0
7.119197470E-1,1.591228247E0,2.932087779E-1,1.269731760E0
7.169757370E-1,1.453809261E0,-3.555366993E-1,1.375192881E0
7.220994870E-1,1.295084953E0,-9.046800137E-1,1.311277032E0
7.270904760E-1,1.080434322E0,-1.208280087E0,1.196228504E0
7.321338620E-1,8.695122600E-1,-1.175256848E0,1.100354910E0
7.372106330E-1,6.862868667E-1,-7.843052745E-1,1.029514790E0
