"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
7.972403532E1,5.233100001E1,4.868433350E0,1.163223005E1,1.690000057E0,1.798999939E2,9.648000717E0,8.000000000E0
8.072403480E1,5.233099205E1,4.868435120E0,1.204280335E1,1.960000038E0,1.776999969E2,9.648000717E0,8.000000000E0
8.172403501E1,5.233097006E1,4.868436540E0,1.147313211E1,2.920000076E0,1.850000000E2,9.648000717E0,8.000000000E0
8.272403548E1,5.233093662E1,4.868438610E0,1.089911163E1,3.789999962E0,1.821999969E2,1.072000027E1,8.000000000E0
8.372403501E1,5.233089182E1,4.868440070E0,1.191845860E1,4.639999866E0,1.830000000E2,1.072000027E1,8.000000000E0
8.472403485E1,5.233086908E1,4.868443820E0,1.154068216E1,1.590000033E0,1.810000000E2,9.648000717E0,8.000000000E0
8.572403428E1,5.233085066E1,4.868453890E0,1.091303749E1,2.450000048E0,1.756000061E2,9.648000717E0,8.000000000E0
8.672403548E1,5.233082054E1,4.868466510E0,1.075650817E1,4.079999924E0,1.798000031E2,1.072000027E1,8.000000000E0
8.772403418E1,5.233076410E1,4.868479310E0,1.077694388E1,7.230000019E0,1.826999969E2,1.179199982E1,8.000000000E0
8.872403475E1,5.233069634E1,4.868484700E0,1.039684673E1,6.800000191E0,1.840000000E2,1.286400032E1,8.000000000E0
8.972403527E1,5.233064175E1,4.868486690E0,1.039909038E1,5.849999905E0,1.796000061E2,1.286400032E1,8.000000000E0
9.072403496E1,5.233057891E1,4.868489920E0,9.938188373E0,6.820000172E0,1.818000031E2,1.286400032E1,8.000000000E0
9.172403527E1,5.233055027E1,4.868499090E0,1.003855614E1,1.820000052E0,1.788999939E2,1.072000027E1,8.000000000E0
9.272403496E1,5.233054025E1,4.868511510E0,1.163229914E1,1.809999943E0,1.665000000E2,1.072000027E1,8.000000000E0
9.372403407E1,5.233052014E1,4.868526170E0,1.131294328E1,1.899999976E0,1.668999939E2,1.072000027E1,8.000000000E0
9.472403511E1,5.233049885E1,4.868547840E0,1.093707121E1,1.750000000E0,1.608000031E2,1.072000027E1,8.000000000E0
9.572403527E1,5.233047751E1,4.868566450E0,1.143924908E1,1.730000019E0,1.638000031E2,1.072000027E1,8.000000000E0
9.672403433E1,5.233045196E1,4.868580300E0,1.076276841E1,1.669999957E0,1.665000000E2,1.072000027E1,8.000000000E0
9.772403490E1,5.233043419E1,4.868592840E0,1.042565340E1,1.389999986E0,1.546000061E2,1.179199982E1,8.000000000E0
9.872403412E1,5.233042301E1,4.868606370E0,1.069816737E1,1.330000043E0,1.528999939E2,1.179199982E1,8.000000000E0
9.972403542E1,5.233041255E1,4.868613160E0,1.077017802E1,1.259999990E0,1.578000031E2,1.072000027E1,8.000000000E0
1.007240343E2,5.233039839E1,4.868612430E0,1.002949605E1,1.230000019E0,1.598999939E2,1.072000027E1,8.000000000E0
1.017240352E2,5.233038365E1,4.868613610E0,1.045116788E1,1.220000029E0,1.613000031E2,1.072000027E1,8.000000000E0
1.027240343E2,5.233036261E1,4.868615560E0,9.940336163E0,1.299999952E0,1.633999939E2,1.072000027E1,8.000000000E0
1.037240343E2,5.233033494E1,4.868624160E0,1.062493349E1,1.230000019E0,1.596000061E2,1.072000027E1,8.000000000E0
1.047240343E2,5.233030842E1,4.868632110E0,1.029042805E1,1.200000048E0,1.613999939E2,1.072000027E1,8.000000000E0
1.057240353E2,5.233029849E1,4.868637660E0,9.929699479E0,1.250000000E0,3.407000122E2,1.072000027E1,8.000000000E0
1.067240352E2,5.233028624E1,4.868638450E0,1.014647957E1,1.210000038E0,1.698999939E2,1.072000027E1,8.000000000E0
1.077240341E2,5.233026324E1,4.868641640E0,9.720179493E0,1.210000038E0,1.743999939E2,1.072000027E1,8.000000000E0
1.087240346E2,5.233024054E1,4.868644060E0,9.821040045E0,1.179999948E0,1.763999939E2,1.072000027E1,8.000000000E0
1.097240352E2,5.233021592E1,4.868636790E0,8.671587183E0,1.210000038E0,1.910000000E2,1.072000027E1,8.000000000E0
1.107240350E2,5.233018961E1,4.868639320E0,8.570477387E0,1.259999990E0,1.911000061E2,1.072000027E1,8.000000000E0
1.117240352E2,5.233015244E1,4.868643110E0,7.577019043E0,1.259999990E0,1.755000000E2,1.072000027E1,8.000000000E0
1.127240353E2,5.233011802E1,4.868654770E0,6.058788793E0,1.190000057E0,1.576000061E2,1.072000027E1,8.000000000E0
1.137240346E2,5.233009681E1,4.868657920E0,4.884261234E0,1.149999976E0,3.503999939E2,1.072000027E1,8.000000000E0
1.147240349E2,5.233008621E1,4.868651260E0,3.726649739E0,1.110000014E0,3.410000000E2,1.072000027E1,8.000000000E0
1.157240353E2,5.233007742E1,4.868645920E0,3.005564983E0,1.059999943E0,3.433999939E2,1.072000027E1,8.000000000E0
1.167240353E2,5.233006756E1,4.868642730E0,2.005915496E0,9.800000191E-1,3.497000122E2,1.072000027E1,8.000000000E0
1.177240354E2,5.233005363E1,4.868644790E0,1.100562598E0,1.019999981E0,3.571000061E2,1.072000027E1,8.000000000E0
1.187240352E2,5.233003463E1,4.868653490E0,9.261633903E-1,1.019999981E0,1.700000000E1,1.179199982E1,8.000000000E0
1.197240354E2,5.233000244E1,4.868658340E0,9.527932265E-1,9.900000095E-1,1.755000000E2,1.179199982E1,1.200000000E1
1.207240352E2,5.232996023E1,4.868660620E0,1.185950463E0,9.300000072E-1,1.731999969E2,1.179199982E1,1.200000000E1
1.217240346E2,5.232991512E1,4.868655260E0,-1.025053578E0,9.200000167E-1,1.841999969E2,1.179199982E1,1.200000000E1
1.227240350E2,5.232988288E1,4.868646680E0,-3.033404630E0,1.350000024E0,3.516000061E2,1.179199982E1,1.200000000E1
1.237240353E2,5.232986068E1,4.868639220E0,-4.305168647E0,1.350000024E0,3.502999878E2,1.179199982E1,1.200000000E1
1.247240346E2,5.232982340E1,4.868630390E0,-5.082264726E0,1.289999962E0,1.871999969E2,1.179199982E1,1.200000000E1
1.257240353E2,5.232978307E1,4.868630110E0,-6.719833846E0,1.220000029E0,7.740000153E1,1.179199982E1,1.200000000E1
1.267240349E2,5.232975854E1,4.868636970E0,-8.282852726E0,1.220000029E0,4.459999847E1,1.286400032E1,1.200000000E1
1.277240349E2,5.232973692E1,4.868637840E0,-9.116134606E0,1.200000048E0,4.609999847E1,1.286400032E1,1.200000000E1
