"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.920823747E1,5.233449135E1,4.867961850E0,8.511599909E1,4.099999964E-1,3.495000000E2,6.753600311E1,6.400000000E1
5.020823778E1,5.233450246E1,4.868052500E0,9.227780976E1,1.429999948E0,3.492000122E2,7.182400513E1,6.400000000E1
5.120823804E1,5.233449801E1,4.868084070E0,9.052293875E1,2.500000000E-1,3.490000000E2,7.075199890E1,6.400000000E1
5.220823757E1,5.233449045E1,4.868081720E0,9.385977980E1,7.400000095E-1,3.487000122E2,6.968000031E1,6.400000000E1
5.320823741E1,5.233447798E1,4.868038360E0,9.003838734E1,9.499999881E-1,3.483999939E2,7.075199890E1,6.400000000E1
5.420823762E1,5.233447163E1,4.867994890E0,9.084621486E1,1.980000019E0,3.481000061E2,6.968000031E1,6.400000000E1
5.520823799E1,5.233446234E1,4.867972260E0,9.369213610E1,1.480000019E0,3.478999939E2,7.075199890E1,6.400000000E1
5.620823773E1,5.233445325E1,4.867936090E0,9.218142146E1,1.279999971E0,3.476000061E2,7.396800232E1,6.400000000E1
5.720823794E1,5.233444103E1,4.867892180E0,9.666251928E1,8.100000024E-1,3.472999878E2,7.504000092E1,6.400000000E1
5.820823788E1,5.233443212E1,4.867868020E0,9.589607446E1,7.400000095E-1,3.470000000E2,7.289600372E1,6.400000000E1
5.920823809E1,5.233442098E1,4.867832270E0,9.117167309E1,3.499999940E-1,3.467000122E2,7.396800232E1,6.400000000E1
6.020823804E1,5.233441604E1,4.867800150E0,8.882563946E1,4.900000095E-1,3.465000000E2,7.075199890E1,6.400000000E1
6.120823825E1,5.233440544E1,4.867803970E0,9.079779470E1,0.000000000E0,0.000000000E0,6.110400009E1,4.800000000E1
6.220823757E1,5.233440271E1,4.867766030E0,8.859903868E1,0.000000000E0,0.000000000E0,6.217600250E1,4.800000000E1
6.320823778E1,5.233440326E1,4.867729880E0,8.583510276E1,0.000000000E0,0.000000000E0,6.003200150E1,4.800000000E1
6.420823731E1,5.233440402E1,4.867736510E0,8.534487324E1,0.000000000E0,0.000000000E0,5.788800049E1,4.800000000E1
6.520823794E1,5.233440370E1,4.867703600E0,8.305902633E1,0.000000000E0,0.000000000E0,5.574400330E1,4.800000000E1
6.620823794E1,5.233439754E1,4.867679610E0,8.292948733E1,0.000000000E0,0.000000000E0,5.252799988E1,4.800000000E1
6.720823768E1,5.233439782E1,4.867696020E0,8.454729496E1,0.000000000E0,0.000000000E0,5.038400269E1,4.800000000E1
6.820823799E1,5.233439800E1,4.867687710E0,8.438200726E1,0.000000000E0,0.000000000E0,4.824000168E1,4.800000000E1
6.920823768E1,5.233438886E1,4.867622980E0,7.959283382E1,0.000000000E0,0.000000000E0,4.716799927E1,4.800000000E1
7.020823788E1,5.233438823E1,4.867634720E0,8.085138458E1,0.000000000E0,0.000000000E0,4.502400208E1,4.800000000E1
7.120823710E1,5.233439199E1,4.867661230E0,8.250844849E1,0.000000000E0,0.000000000E0,4.288000107E1,3.200000000E1
7.220823794E1,5.233439450E1,4.867681420E0,8.315464278E1,0.000000000E0,0.000000000E0,4.073600006E1,3.200000000E1
7.320823757E1,5.233439994E1,4.867714110E0,8.471265254E1,0.000000000E0,0.000000000E0,4.288000107E1,3.200000000E1
7.420823768E1,5.233440505E1,4.867743110E0,8.609707574E1,0.000000000E0,0.000000000E0,4.180800247E1,3.200000000E1
7.520823767E1,5.233440070E1,4.867719140E0,8.394538354E1,0.000000000E0,0.000000000E0,4.180800247E1,3.200000000E1
7.620823721E1,5.233440359E1,4.867735210E0,8.540474738E1,0.000000000E0,0.000000000E0,4.288000107E1,3.200000000E1
7.720823762E1,5.233440212E1,4.867727410E0,8.455397181E1,0.000000000E0,0.000000000E0,4.716799927E1,4.800000000E1
7.820823799E1,5.233440190E1,4.867726520E0,8.459901494E1,0.000000000E0,0.000000000E0,4.716799927E1,4.800000000E1
7.920823783E1,5.233440210E1,4.867727780E0,8.469252180E1,0.000000000E0,0.000000000E0,4.716799927E1,4.800000000E1
8.020823752E1,5.233440220E1,4.867728320E0,8.467671414E1,0.000000000E0,0.000000000E0,4.502400208E1,3.200000000E1
8.120823788E1,5.233440214E1,4.867728200E0,8.463124280E1,0.000000000E0,0.000000000E0,4.716799927E1,4.800000000E1
8.220823705E1,5.233440206E1,4.867727870E0,8.456916974E1,0.000000000E0,0.000000000E0,4.824000168E1,4.800000000E1
8.320823742E1,5.233440201E1,4.867727610E0,8.452937460E1,0.000000000E0,0.000000000E0,4.824000168E1,4.800000000E1
8.420823799E1,5.233440196E1,4.867727310E0,8.449018979E1,0.000000000E0,0.000000000E0,4.609600067E1,3.200000000E1
8.520823757E1,5.233440197E1,4.867727230E0,8.447505304E1,0.000000000E0,0.000000000E0,4.502400208E1,3.200000000E1
8.620823757E1,5.233440194E1,4.867727240E0,8.446247976E1,0.000000000E0,0.000000000E0,4.395199966E1,3.200000000E1
8.720823752E1,5.233440192E1,4.867727340E0,8.445814629E1,0.000000000E0,0.000000000E0,4.824000168E1,4.800000000E1
8.820823715E1,5.233440195E1,4.867727440E0,8.446571475E1,0.000000000E0,0.000000000E0,4.931200027E1,4.800000000E1
8.920823767E1,5.233440195E1,4.867727560E0,8.446022166E1,0.000000000E0,0.000000000E0,5.574400330E1,4.800000000E1
9.020823762E1,5.233440202E1,4.867728030E0,8.450819566E1,0.000000000E0,0.000000000E0,5.896000290E1,4.800000000E1
9.120823768E1,5.233440204E1,4.867728020E0,8.449012927E1,0.000000000E0,0.000000000E0,5.896000290E1,4.800000000E1
9.220823794E1,5.233440206E1,4.867728230E0,8.450984378E1,0.000000000E0,0.000000000E0,5.574400330E1,4.800000000E1
9.320823773E1,5.233440199E1,4.867728220E0,8.449348625E1,0.000000000E0,0.000000000E0,6.110400009E1,4.800000000E1
9.420823767E1,5.233440199E1,4.867728420E0,8.449531742E1,0.000000000E0,0.000000000E0,5.574400330E1,4.800000000E1
9.520823731E1,5.233440207E1,4.867728890E0,8.452705608E1,0.000000000E0,0.000000000E0,5.252799988E1,4.800000000E1
9.620823773E1,5.233440221E1,4.867729660E0,8.456038191E1,0.000000000E0,0.000000000E0,5.145600128E1,4.800000000E1
9.720823788E1,5.233440228E1,4.867730130E0,8.457643453E1,0.000000000E0,0.000000000E0,4.609600067E1,3.200000000E1
9.820823783E1,5.233440232E1,4.867730590E0,8.458455252E1,0.000000000E0,0.000000000E0,4.502400208E1,3.200000000E1
9.920823768E1,5.233440233E1,4.867730550E0,8.455592703E1,0.000000000E0,0.000000000E0,4.395199966E1,3.200000000E1
1.002082378E2,5.233440234E1,4.867730500E0,8.454640553E1,0.000000000E0,0.000000000E0,4.180800247E1,3.200000000E1
1.012082377E2,5.233440232E1,4.867730480E0,8.453840988E1,0.000000000E0,0.000000000E0,3.966400146E1,3.200000000E1
1.022082379E2,5.233440231E1,4.867730480E0,8.453822676E1,0.000000000E0,0.000000000E0,3.644800186E1,3.200000000E1
1.032082370E2,5.233440224E1,4.867730350E0,8.452174710E1,0.000000000E0,0.000000000E0,3.752000046E1,3.200000000E1
