"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.458325417E0,4.992423356E-1,1.084686995E0,3.062575459E-1
1.468278417E0,4.657781124E-1,8.626978993E-1,3.542205393E-1
1.478231417E0,4.934212565E-1,5.328336954E-1,3.337273896E-1
1.488184417E0,5.592543483E-1,1.833568960E-1,2.665148079E-1
1.498137417E0,6.050849557E-1,-1.149129868E-1,1.598847061E-1
1.508090417E0,5.958035588E-1,-3.377718925E-1,4.310509190E-2
1.518043417E0,5.511403084E-1,-4.562606812E-1,-5.352301896E-2
1.527996417E0,5.278221965E-1,-4.961806536E-1,-1.093500629E-1
1.537949417E0,5.624797344E-1,-4.887982905E-1,-1.569332033E-1
1.547902417E0,6.481642723E-1,-4.598100483E-1,-1.918680072E-1
1.557855417E0,7.618061304E-1,-3.571461141E-1,-1.883917749E-1
1.567808417E0,8.455327153E-1,-2.156558484E-1,-1.429907382E-1
1.577761417E0,8.596390486E-1,-7.573679090E-2,-8.433055133E-2
1.587713417E0,8.147330880E-1,7.435017824E-2,-3.648060374E-4
1.597666542E0,7.471041679E-1,2.094519138E-1,8.011690527E-2
1.607619542E0,6.798846126E-1,2.702899575E-1,1.432223618E-1
1.617572542E0,6.308519840E-1,2.672057748E-1,1.737879068E-1
1.627525542E0,5.848591924E-1,2.368417531E-1,1.805278212E-1
1.637478542E0,5.121247172E-1,1.924813390E-1,1.829826534E-1
1.647431542E0,3.980537951E-1,1.333985776E-1,1.891561300E-1
1.657384542E0,2.569104433E-1,6.617614627E-2,2.007586211E-1
1.667337542E0,1.137277037E-1,2.301163226E-2,1.988430172E-1
1.677290542E0,-1.255623903E-2,1.314697880E-2,1.916398853E-1
1.687243542E0,-1.010208577E-1,5.947826058E-2,2.220768929E-1
1.697196542E0,-1.404572427E-1,1.202550754E-1,2.964195609E-1
1.707149542E0,-1.274572909E-1,1.523490995E-1,3.666708171E-1
1.717102542E0,-9.783281386E-2,1.645016372E-1,3.998420835E-1
1.727055542E0,-1.069136560E-1,1.633106768E-1,4.101919234E-1
1.737008542E0,-1.499097645E-1,1.768469661E-1,3.939917386E-1
1.746961542E0,-2.362891287E-1,2.323387265E-1,3.574326634E-1
1.756914542E0,-3.385885954E-1,3.015320301E-1,3.381630778E-1
1.766866542E0,-4.307395518E-1,3.948814273E-1,3.579533100E-1
1.776819542E0,-4.842705727E-1,4.662320316E-1,3.866910338E-1
1.786772542E0,-4.822782576E-1,4.949417114E-1,4.178156853E-1
1.796725542E0,-4.493623674E-1,4.744839370E-1,4.384072423E-1
1.806678542E0,-4.422141910E-1,4.296906292E-1,4.845805764E-1
1.816631542E0,-5.204610825E-1,4.350991845E-1,5.733445287E-1
1.826584542E0,-6.914855838E-1,4.450394213E-1,6.961932182E-1
1.836537542E0,-8.959958553E-1,3.697586060E-1,8.403328657E-1
1.846490542E0,-1.045940161E0,2.351416647E-1,9.496079683E-1
1.856443542E0,-1.062900901E0,1.466646418E-2,9.602885246E-1
1.866396542E0,-9.502199292E-1,-2.655667961E-1,8.758801222E-1
1.876349542E0,-7.351941466E-1,-5.042827725E-1,7.552350163E-1
1.886302542E0,-4.775750935E-1,-6.019565463E-1,6.430983543E-1
1.896255542E0,-2.441352010E-1,-4.991007447E-1,5.768881440E-1
1.906208542E0,-9.002419561E-2,-2.334437966E-1,6.059413552E-1
1.916161542E0,-1.376729086E-2,7.504824549E-2,7.320891619E-1
1.926114542E0,2.454627678E-2,3.039360046E-1,8.629262447E-1
1.936067542E0,5.170338973E-2,4.495373964E-1,9.739357233E-1
1.946019542E0,8.604484797E-2,5.208173990E-1,1.077175975E0
1.955972542E0,1.311673075E-1,5.051419139E-1,1.185473204E0
1.965925542E0,1.791582704E-1,4.004911780E-1,1.302436829E0
1.975878542E0,2.165438533E-1,2.481331229E-1,1.399110317E0
1.985831542E0,1.729114205E-1,1.157391518E-1,1.488963723E0
1.995784542E0,2.028409578E-2,2.198067866E-2,1.610231042E0
2.005737542E0,-1.789373904E-1,-6.402850151E-2,1.748358250E0
2.015690542E0,-3.301944435E-1,-2.210515738E-1,1.818274021E0
2.025643542E0,-3.522880375E-1,-4.325906932E-1,1.786946297E0
2.035596542E0,-2.344197035E-1,-6.284354329E-1,1.670556307E0
2.045549542E0,-2.175750956E-2,-7.739726901E-1,1.493847489E0
2.055502542E0,2.236250639E-1,-7.910459042E-1,1.326521397E0
2.065455542E0,4.547696114E-1,-6.875634789E-1,1.239847779E0
2.075408542E0,6.651967764E-1,-4.806896448E-1,1.251199365E0
2.085361542E0,8.263893723E-1,-2.338945121E-1,1.341328979E0
2.095314542E0,9.376864433E-1,-1.141924039E-2,1.460119963E0
2.105267542E0,1.021594644E0,1.375127137E-1,1.542018533E0
2.115220542E0,1.087845445E0,2.054565996E-1,1.537916780E0
2.125173542E0,1.130985975E0,1.843891293E-1,1.463864446E0
2.135126542E0,1.156923294E0,1.510913819E-1,1.363965750E0
2.145078542E0,1.167726159E0,1.125125736E-1,1.257836938E0
2.155031542E0,1.163777590E0,7.897600532E-2,1.181281924E0
2.164984542E0,1.149195671E0,6.010644138E-2,1.151447296E0
2.174937542E0,1.152135015E0,2.579500154E-2,1.152091146E0
2.184890542E0,1.151709914E0,-2.716268413E-3,1.167956233E0
2.194843542E0,1.102691054E0,5.232226104E-4,1.202999115E0
2.204796542E0,1.000309706E0,3.728763014E-2,1.244930625E0
2.214749542E0,8.591260314E-1,9.242743999E-2,1.282258272E0
2.224702542E0,7.182775736E-1,1.336552948E-1,1.310559988E0
2.234655542E0,6.030675173E-1,1.724657416E-1,1.309925914E0
2.244608542E0,4.930520356E-1,2.113241851E-1,1.280896902E0
2.254561542E0,3.665960729E-1,2.471838146E-1,1.242323399E0
