,acc_Acceleration x (m/s^2),acc_Acceleration y (m/s^2),acc_Acceleration z (m/s^2),gyr_Gyroscope x (rad/s),gyr_Gyroscope y (rad/s),gyr_Gyroscope z (rad/s),lux_Illuminance (lx),loc_Latitude (°),loc_Longitude (°),loc_Height (m),loc_Velocity (m/s),loc_Direction (°),loc_Horizontal Accuracy (m),loc_Vertical Accuracy (m),mag_Magnetic field x (µT),mag_Magnetic field y (µT),mag_Magnetic field z (µT)
2021-06-02 08:23:17.808970112,-0.08648673391230768,0.18940111464423076,9.76784704273077,1.1747062673076951e-05,4.698825849134613e-05,-0.00018795300277307691,20.0,28.70673918,115.905986,75.73574002,0.0,0.0,22.28981972,8.070885658,14.3906317904,24.0339995572,-35.7699107352
2021-06-02 08:23:18.058970112,-0.08738404225913461,0.18813568009903842,9.767317836038462,0.00027018244148076926,0.00024668832837692305,-9.3976501375e-05,21.25,,,,,,,,14.475055730800001,24.110615312,-35.6000869756
2021-06-02 08:23:18.308970112,-0.08676282925317305,0.18894095661634613,9.7662595235,-1.1635185885714303e-05,0.00019052617879619044,-0.00014543982355619048,18.89999962,,,,,,,,14.427719726,24.303375550000002,-35.570807342
2021-06-02 08:23:18.558970112,-0.08625665500615384,0.18995330496923077,9.763935758461539,-7.048237603846154e-05,1.174707384230768e-05,-5.8735313350000006e-05,18.29999924,,,,,,,,14.5136076736,24.144287567600003,-35.542991334
2021-06-02 08:23:18.808970112,-0.0868778682623077,0.18822771167403846,9.764579974605768,0.0001762059400961539,-0.00012921767933269233,-0.0001409647520625,19.20000076,28.70673918,115.905986,75.73488543,0.0,0.0,20.56843567,8.065548897,14.443335685200003,24.3594953912,-35.782111358399995
2021-06-02 08:23:19.058970112,-0.08625665475394231,0.18790560115096153,9.764580011298078,-7.048237603846153e-05,-7.048237045096155e-05,1.1747062671153848e-05,20.10000038,,,,,,,,14.451631737200003,24.249695511600002,-35.5527514656
2021-06-02 08:23:19.308970112,-0.08204620695153844,0.18953916229846154,9.76388970698077,-5.8735313365384605e-05,5.8735321158653836e-05,-7.048237603269231e-05,21.60000038,,,,,,,,14.482863692399999,24.429279404400003,-35.844575348
2021-06-02 08:23:19.558970112,-0.08798224813281731,0.1904594802760577,9.763757531394232,-0.00022319419975961544,-0.0002349412523076923,0.00014096475206730767,22.60000038,,,,,,,,14.451631812399999,24.322895584399998,-35.76112731880001
2021-06-02 08:23:19.808970112,-0.08639470258846155,0.18707731638557692,9.763291523942307,0.00022319419078846157,0.0001057235729711538,1.1747062671153851e-05,22.0,28.70673912,115.905986,75.74300306,0.0,0.0,22.90744781,8.650610924,14.423327788000002,24.273119506399997,-35.6947595224
2021-06-02 08:23:20.058970112,-0.08604958402711539,0.18907900512980771,9.763429595759616,0.00028192950415384616,2.349413035673073e-05,-5.873531335288463e-05,21.25,,,,,,,,14.381359749199998,24.4019516748,-35.923631134000004
2021-06-02 08:23:20.308970112,-0.08450805360105769,0.18947013896730772,9.762992427884615,2.349412534615384e-05,3.5241197516346144e-05,-0.0001057235640480769,24.0,,,,,,,,14.458951644399999,24.320455475599996,-35.9333909608
2021-06-02 08:23:20.558970112,-0.08803023607438093,0.1897878676638095,9.765542211952381,4.698825069230767e-05,-9.397649299711536e-05,1.1747062674038471e-05,26.29999924,,,,,,,,14.338903732799999,23.987639465600004,-35.5224954228
2021-06-02 08:23:20.808970112,-0.08388684002221154,0.1884347837980769,9.763429623355771,0.0005403648829615385,0.00015271182085673074,-0.00014096475206250002,27.0,28.706739,115.905986,75.75197493,0.0,0.0,23.82640266,8.962962151,14.4184478008,24.1237914272,-35.408791352
2021-06-02 08:23:21.058970112,-0.08600356798903847,0.18781357029326926,9.762877427615384,0.0006225943216730769,-5.8735304975000006e-05,-5.873531335288462e-05,26.5,,,,,,,,14.452607764,23.9988635248,-35.308751678
2021-06-02 08:23:21.308970112,-0.08595755194846154,0.18914802845673076,9.76531628458654,0.00032891775484615387,0.00011747063730865383,-2.349412534807692e-05,26.70000076,,,,,,,,14.405271797200001,24.048639526000002,-35.2809353632
2021-06-02 08:23:21.558970112,-0.08621063910903848,0.18746845137499998,9.76478707785577,0.0002584353788076923,1.1747074398076878e-05,-8.653851540277954e-15,27.39999962,,,,,,,,14.453583754400002,24.2848314668,-35.6039912416
2021-06-02 08:23:21.808970112,-0.08621063889807692,0.1884807990144231,9.761565978701924,0.0004698825069230769,-0.00011747061331057691,-3.524118802211539e-05,27.5,28.70673847,115.9059862,75.79079121,0.0,0.0,20.03431129,8.482095718,14.483351782799998,24.2340795904,-35.646935424800006
2021-06-02 08:23:22.058970112,-0.08593454416298078,0.18894095704423075,9.763751717740385,0.00031717069217307697,2.3494139868269225e-05,-2.349412534230768e-05,26.14999962,,,,,,,,14.381847724400002,24.328751526399998,-35.7245272824
2021-06-02 08:23:22.308970112,-0.08786720892103846,0.18873388614009615,9.763797732442308,0.0001057235640576923,1.8449038454122876e-11,-0.00022319419076634615,25.5,,,,,,,,14.3247517012,23.7587674704,-35.570319215599994
2021-06-02 08:23:22.558970112,-0.08904061189600002,0.18825072007028845,9.767363979182692,1.1635185885714318e-05,1.599840109428576e-05,-0.00033160279770857147,26.0,,,,,,,,14.343783722400001,23.862223588000003,-35.583983459200006
2021-06-02 08:23:22.808970112,-0.0857044649199952,0.18624903154423075,9.770101895692308,0.0001644588774230769,5.873532563076921e-05,-0.0002466883161259615,26.10000038,28.70673838,115.9059862,75.79738276,0.0,0.0,19.59570694,8.316048622,14.3647676464,23.843191453199996,-35.5669030764
