,acc_Acceleration x (m/s^2),acc_Acceleration y (m/s^2),acc_Acceleration z (m/s^2),gyr_Gyroscope x (rad/s),gyr_Gyroscope y (rad/s),gyr_Gyroscope z (rad/s),lux_Illuminance (lx),loc_Latitude (°),loc_Longitude (°),loc_Velocity (m/s),mag_Magnetic field x (µT),mag_Magnetic field y (µT),mag_Magnetic field z (µT),labelbike,labeldance,labeldesk,labelrun,labelsit,labelwalki,labelwalko
2021-06-05 08:36:36.316535552,0.040127973966090906,-0.4193596487717172,9.933221055989899,0.0011561375006091837,0.0007772711848030614,0.000958638866722449,,,,,-42.5168626408,-29.346917113600007,-53.736397399199994,0,0,1,0,0,0,0
2021-06-05 08:36:36.566535552,0.03886974821217171,-0.4233763106585858,9.93411640211111,0.0012104876757408163,0.0009946719457153063,0.001360830187977551,,,,,-42.4373194892,-29.194960327999997,-53.5133181756,0,0,1,0,0,0,0
2021-06-05 08:36:36.816535552,0.035240237761323234,-0.4220696856313131,9.929591573858588,0.000898082843001,0.0011242427874520002,0.0009603780670919999,,52.3343016,4.8669554,0.0,-42.3504304508,-29.440869445599997,-53.87355377240001,0,0,1,0,0,0,0
2021-06-05 08:36:37.066535552,0.03729696285849495,-0.42417480367676763,9.92862378708081,0.0013735381961295916,0.000907711703720408,0.0011977796580938775,,,,,-42.45446929880001,-29.7047680652,-54.0649935904,0,0,1,0,0,0,0
2021-06-05 08:36:37.316535552,0.03744708153645918,-0.42609375289795914,9.933425338897958,0.0014946303958780001,0.0007194426696510001,0.0010988623346519998,,,,,-42.7436181636,-29.599999085199997,-54.26530731239999,0,0,1,0,0,0,0
2021-06-05 08:36:37.566535552,0.03468370798862626,-0.4210534216242424,9.928986722808082,0.001199617630260204,0.0011468524711612245,0.0008173284088163267,,,,,-42.41828872639999,-29.387531127200006,-53.7891879276,0,0,1,0,0,0,0
2021-06-05 08:36:37.816535552,0.037393745749919195,-0.4244409676151516,9.927438071323232,0.0014094093161899999,0.0007620532159240001,0.00096037807408,,,,,-42.3193183908,-29.358163451600003,-54.2885043328,0,0,1,0,0,0,0
2021-06-05 08:36:38.066535552,0.0381680413929495,-0.422529423180808,9.925526589979798,0.0015909389297642858,0.0008968416303642858,0.000871678583822449,,,,,-42.4679109196,-29.024094542800004,-53.8874923704,0,0,1,0,0,0,0
2021-06-05 08:36:38.316535552,0.03809545317079798,-0.42514267503838393,9.926276650151515,0.0009604768129040818,0.0007555311865520407,0.0012086496987244897,,,,,-42.356575164000006,-29.3426693732,-54.0048446652,0,0,1,0,0,0,0
2021-06-05 08:36:38.566535552,0.03957145262264646,-0.42606214742424253,9.930825628444445,0.001292230333069,0.0008472742553690002,0.001162778139116,,,,,-42.658080902,-29.231634826,-54.16839202919999,0,0,1,0,0,0,0
2021-06-05 08:36:38.816535552,0.03821643614995959,-0.4201581417929292,9.923639201191918,0.0012539678290316328,0.0007011810061081633,0.0010129890466224491,,,,,-42.4365278624,-29.3849725348,-53.9939633176,0,0,1,0,0,0,0
2021-06-05 08:36:39.066535552,0.03600490032418367,-0.42352716989897965,9.930443170142858,0.001228314507697,0.000591610997805,0.00027860942766799995,,,,,-42.42407531639999,-29.676177367599998,-53.7612301644,0,0,1,0,0,0,0
2021-06-05 08:36:39.316535552,0.0398376174649596,-0.4225052252030302,9.93358407840404,0.0011343974120428574,0.000744661120269388,0.00044774718832653055,,,,,-42.257981873999995,-29.6324737548,-53.763796081600006,0,0,1,0,0,0,0
2021-06-05 08:36:39.566535552,0.035143447644858584,-0.42354568838888884,9.932616185666665,0.001089830268148,0.0009431479347560001,0.00032121996862000005,,,,,-42.2391702268,-29.6542361444,-54.05403167680001,0,0,1,0,0,0,0
2021-06-05 08:36:39.816535552,0.03502246406340405,-0.4241506047939394,9.928696304858585,0.0011996176325897961,0.0008751015893214286,0.00029556668716530614,,,,,-42.1286096188,-29.539875183200003,-54.009271544799994,0,0,1,0,0,0,0
2021-06-05 08:36:40.066535552,0.03911171296608081,-0.42294076718080803,9.92934964888889,0.0014061483207132655,0.0006250907638857143,0.0006760179483571429,,,,,-42.3132066352,-29.392244262800006,-54.207480162799996,0,0,1,0,0,0,0
2021-06-05 08:36:40.316535552,0.03998279692032324,-0.42402962030505054,9.929010969242425,0.0013135356316000002,0.0010496744001479998,0.00042774631414800005,,,,,-42.7869964596,-29.608184204,-53.9815249636,0,0,1,0,0,0,0
2021-06-05 08:36:40.566535552,0.03427236609981818,-0.4245861458656566,9.933632397959595,0.0007865562564622451,0.0007772712644438776,0.0003281768021428572,,,,,-42.4423924248,-29.660991210400002,-53.910434876,0,0,1,0,0,0,0
