"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.937597229E2,1.617946243E1,3.309239197E1,-1.185987854E1
2.937697229E2,1.694483566E1,3.489150238E1,-1.062356567E1
2.937797229E2,1.663208199E1,3.698066711E1,-8.643585205E0
2.937897229E2,1.555119228E1,3.629445648E1,-4.174362183E0
2.937997229E2,1.447463417E1,3.656366730E1,-4.823310852E0
2.938097229E2,1.401130295E1,3.701510239E1,-3.756721497E0
2.938197229E2,1.401155949E1,3.657751083E1,-3.442115784E0
2.938297229E2,1.446879292E1,3.808871460E1,-1.436302185E0
2.938397229E2,1.400699043E1,3.779615784E1,-8.253402710E-1
2.938497229E2,1.400444508E1,3.840895844E1,7.151412964E-1
2.938597229E2,1.323305893E1,3.813721466E1,3.020568848E0
2.938697229E2,1.323352528E1,3.842044830E1,2.243476868E0
2.938797229E2,1.307863712E1,3.756377029E1,4.261482239E0
2.938897229E2,1.323460579E1,3.637988281E1,3.814781189E0
2.938997229E2,1.446340084E1,3.816052246E1,3.360427856E0
2.939097229E2,1.246266174E1,3.814175415E1,4.084701538E0
2.939197229E2,1.446527767E1,3.741189575E1,2.595321655E0
2.939297229E2,1.308121014E1,3.680587769E1,2.877441406E0
2.939397229E2,1.307811546E1,3.757071686E1,4.725677490E0
2.939497229E2,1.354397297E1,3.751981354E1,8.687438965E-1
2.939597229E2,1.354223347E1,3.754297638E1,2.416076660E0
2.939697229E2,1.200535583E1,3.793406296E1,5.161514282E-1
2.939797229E2,1.139125538E1,3.776342010E1,-4.257354736E-1
2.939897229E2,1.323688602E1,3.808625412E1,-3.835678101E-1
2.939997229E2,1.216049957E1,3.835314941E1,-1.187248230E0
2.940097229E2,1.154405785E1,3.864789200E1,-5.869445801E-1
2.940197229E2,9.700039864E0,3.714578247E1,-6.154174805E-1
2.940297229E2,1.308568668E1,3.790407944E1,-2.551918030E0
2.940397229E2,1.170200443E1,3.801658249E1,-3.516227722E0
2.940497229E2,1.077795410E1,3.888471222E1,-3.704025269E0
2.940597229E2,1.154989815E1,3.712284088E1,-3.973945618E0
2.940697229E2,1.170005417E1,3.731891632E1,-8.771972656E-1
2.940797229E2,1.231624126E1,3.746176147E1,-1.792114258E0
2.940897229E2,1.231370544E1,3.894280243E1,-1.345031738E0
2.940997229E2,1.200683022E1,3.748025513E1,-2.523803711E-1
2.941097229E2,1.231107712E1,3.724106598E1,3.162773132E0
2.941197229E2,1.354437542E1,3.722499847E1,8.721694946E-1
2.941297229E2,1.200265503E1,3.753584671E1,3.461219788E0
2.941397229E2,1.000508404E1,3.819853210E1,4.633331299E-1
2.941497229E2,1.000630188E1,3.818231964E1,-6.197967529E-1
2.941597229E2,1.046659279E1,3.820553589E1,4.747314453E-1
2.941697229E2,1.046807575E1,3.861996841E1,-1.387207031E0
2.941797229E2,1.077546310E1,3.920732117E1,-1.850646973E0
2.941897229E2,9.854442596E0,3.873255920E1,-3.106178284E0
2.941997229E2,9.241872787E0,3.781791687E1,-4.503707886E0
2.942097229E2,9.858003616E0,3.825095367E1,-5.731506348E0
2.942197229E2,1.001259995E1,3.882208252E1,-7.127151489E0
2.942297229E2,9.248528481E0,3.657147598E1,-8.977279663E0
2.942397229E2,1.124901104E1,3.702783966E1,-1.001615906E1
2.942497229E2,1.125127220E1,3.699772644E1,-1.202769470E1
2.942597229E2,9.558178902E0,3.712872314E1,-1.145225525E1
2.942697229E2,1.079513741E1,3.518243790E1,-1.464900208E1
2.942797229E2,1.233510971E1,3.402651215E1,-1.459730530E1
2.942897229E2,1.156749535E1,3.399398804E1,-1.600891113E1
2.942997229E2,1.033744812E1,3.425623322E1,-1.697111511E1
2.943097229E2,1.003301620E1,3.362950134E1,-1.913813782E1
2.943197229E2,1.003301620E1,3.362950134E1,-1.913813782E1
2.943297229E2,1.141805363E1,3.277532196E1,-1.847473145E1
2.943397229E2,1.141805363E1,3.277532196E1,-1.847473145E1
2.943497229E2,1.218702316E1,3.206616592E1,-1.736405945E1
2.943597229E2,1.249813843E1,3.130136108E1,-1.951416016E1
2.943697229E2,1.326884747E1,3.056903839E1,-1.995079041E1
2.943797229E2,1.542501450E1,3.042420197E1,-2.190744019E1
2.943897229E2,1.404204655E1,2.951410675E1,-2.224081421E1
2.943997229E2,1.542567348E1,2.969179153E1,-2.158940125E1
2.944097229E2,1.542642403E1,2.939233780E1,-2.189544678E1
2.944197229E2,1.604139328E1,2.955140686E1,-2.172721863E1
2.944297229E2,1.712059021E1,2.910235977E1,-2.324282837E1
2.944397229E2,1.665962219E1,2.807507324E1,-2.246856689E1
2.944497229E2,1.666089439E1,2.776866913E1,-2.323881531E1
2.944597229E2,1.789345741E1,2.703871918E1,-2.397352600E1
2.944697229E2,1.896992683E1,2.633654404E1,-2.270050049E1
2.944797229E2,1.958595848E1,2.546838379E1,-2.221084595E1
2.944897229E2,2.066215134E1,2.621713638E1,-2.250227356E1
2.944997229E2,2.174090576E1,2.533975983E1,-2.308433533E1
2.945097229E2,2.097420692E1,2.413722992E1,-2.386329651E1
2.945197229E2,2.189423180E1,2.621728516E1,-2.370974731E1
2.945297229E2,2.204866219E1,2.490914536E1,-2.260739136E1
2.945397229E2,2.250968361E1,2.564624786E1,-2.306875610E1
2.945497229E2,2.189410400E1,2.506117249E1,-2.214871216E1
2.945597229E2,2.142742920E1,2.758328629E1,-2.064187622E1
2.945697229E2,2.188988304E1,2.627519226E1,-1.984141541E1
2.945797229E2,2.096629715E1,2.742655945E1,-2.080628967E1
2.945897229E2,2.034835434E1,2.832020187E1,-1.959390259E1
2.945997229E2,1.957683182E1,2.877391815E1,-1.807070923E1
2.946097229E2,2.065205956E1,2.910129547E1,-1.696440125E1
2.946197229E2,2.018818283E1,2.970477295E1,-1.559005737E1
2.946297229E2,1.956830597E1,3.163723373E1,-1.392543030E1
2.946397229E2,1.880227470E1,3.057053375E1,-1.547978210E1
2.946497229E2,1.864270782E1,3.151287460E1,-1.147079468E1
2.946597229E2,1.771710968E1,3.413833237E1,-1.245278931E1
2.946697229E2,1.710171127E1,3.441918182E1,-1.278088379E1
2.946797229E2,1.602111435E1,3.401851654E1,-8.934020996E0
