"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.441606980E-1,-1.556558013E-1,7.963176817E-2,-2.176799625E-2
7.492366870E-1,-1.348831654E-1,7.963176817E-2,-2.017010003E-2
7.542746040E-1,-1.135778949E-1,7.483808696E-2,-1.644167677E-2
7.593692390E-1,-9.387052059E-2,6.418545544E-2,-9.517463855E-3
7.643904890E-1,-7.309788465E-2,4.660860822E-2,-6.321672350E-3
7.694372080E-1,-5.498840287E-2,2.903176099E-2,-2.060619183E-3
7.745058540E-1,-3.421576321E-2,7.726490498E-3,1.667803153E-3
7.795641870E-1,-1.024733484E-2,-1.198088564E-2,5.396225490E-3
7.846227810E-1,7.862144150E-3,-3.168826178E-2,9.124647826E-3
7.896730930E-1,2.650425583E-2,-4.553668573E-2,9.124647826E-3
7.947392390E-1,4.834215716E-2,-5.405879393E-2,1.178780664E-2
7.998102810E-1,6.378847361E-2,-5.512405559E-2,1.391833369E-2
8.048552810E-1,7.603900135E-2,-5.192826316E-2,1.391833369E-2
8.098820520E-1,8.828953654E-2,-4.660194740E-2,1.391833369E-2
8.149666350E-1,9.840954095E-2,-3.488404676E-2,1.658149064E-2
8.200195000E-1,1.127905920E-1,-2.103562467E-2,1.391833369E-2
8.250855410E-1,1.234432310E-1,-7.187199779E-3,1.285307016E-2
8.301998120E-1,1.314327121E-1,4.530698992E-3,1.498359721E-2
8.351992910E-1,1.415527016E-1,1.252017543E-2,1.338570192E-2
8.402487180E-1,1.474116594E-1,1.837912388E-2,1.391833369E-2
8.453167390E-1,1.522053480E-1,1.891175658E-2,1.391833369E-2
8.503438230E-1,1.559337676E-1,1.411807165E-2,1.285307016E-2
8.554166350E-1,1.543358713E-1,8.259121329E-3,1.445096545E-2
8.604525730E-1,1.548684984E-1,1.334908418E-3,1.764675602E-2
8.655328850E-1,1.532706171E-1,-8.785095066E-3,1.817938685E-2
8.706049680E-1,1.431505978E-1,-1.730720326E-2,1.977728121E-2
8.756609060E-1,1.319653392E-1,-2.636194229E-2,1.924465038E-2
8.807290310E-1,1.138558537E-1,-3.275352344E-2,2.084254473E-2
8.857632500E-1,9.201795608E-2,-3.967773542E-2,2.244044095E-2
8.908368430E-1,6.272321194E-2,-4.606931284E-2,2.137517743E-2
8.958786140E-1,2.597162500E-2,-4.713458195E-2,1.977728121E-2
9.009300210E-1,-1.717154868E-2,-4.766720906E-2,1.658149064E-2
9.059943430E-1,-6.351051480E-2,-4.287352785E-2,1.445096545E-2
9.110584580E-1,-1.103821099E-1,-3.381878510E-2,1.018991135E-2
9.161100730E-1,-1.487316042E-1,-2.369878255E-2,5.396225490E-3
9.211692390E-1,-1.812221408E-1,-1.198088564E-2,1.135171507E-3
9.262229890E-1,-2.041253000E-1,2.696449519E-4,-5.789041519E-3
9.313373640E-1,-2.195716202E-1,1.624859869E-2,-1.111535914E-2
9.363368430E-1,-2.211695164E-1,3.435808048E-2,-1.590904593E-2
9.414367910E-1,-2.142453045E-1,5.300018564E-2,-2.017010003E-2
9.464560620E-1,-2.014621496E-1,6.365282089E-2,-2.389852330E-2
9.514950210E-1,-1.838852912E-1,7.483808696E-2,-2.709431201E-2
9.565860100E-1,-1.663084477E-1,8.336019516E-2,-2.709431201E-2
9.616216350E-1,-1.455358118E-1,8.495809138E-2,-2.230062708E-2
9.666875210E-1,-1.236979067E-1,7.909914106E-2,-2.123536170E-2
