"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
6.887572065E1,5.232623800E1,4.868471090E0,7.544740121E0,2.029999971E0,8.199999809E0,1.607999992E1,8.000000000E0
6.987572028E1,5.232625617E1,4.868477030E0,7.564910680E0,2.019999981E0,1.160000038E1,1.715200043E1,8.000000000E0
7.087572008E1,5.232627395E1,4.868483150E0,7.570371320E0,2.009999990E0,1.089999962E1,1.715200043E1,8.000000000E0
7.187572002E1,5.232629178E1,4.868489400E0,7.637294507E0,2.019999981E0,1.130000019E1,1.822400093E1,8.000000000E0
7.287572013E1,5.232630952E1,4.868495970E0,7.649896461E0,2.009999990E0,1.130000019E1,1.822400093E1,8.000000000E0
7.387572096E1,5.232633009E1,4.868491200E0,7.368489580E0,2.019999981E0,3.500000000E0,1.929600143E1,8.000000000E0
7.487572070E1,5.232635120E1,4.868482710E0,7.271224402E0,2.039999962E0,2.599999905E0,2.036800003E1,8.000000000E0
7.587572023E1,5.232637118E1,4.868477420E0,7.274423327E0,2.029999971E0,3.299999952E0,1.929600143E1,8.000000000E0
7.687571997E1,5.232639051E1,4.868475760E0,7.284337276E0,2.039999962E0,7.400000095E0,2.036800003E1,8.000000000E0
7.787572096E1,5.232640990E1,4.868474840E0,7.228944114E0,2.039999962E0,7.500000000E0,2.144000053E1,8.000000000E0
7.887572055E1,5.232642991E1,4.868471900E0,7.115384168E0,2.049999952E0,7.400000095E0,2.358399963E1,8.000000000E0
7.987572081E1,5.232645083E1,4.868466510E0,7.032952034E0,2.059999943E0,5.300000191E0,2.572800064E1,1.200000000E1
8.087572049E1,5.232647130E1,4.868462390E0,7.018146945E0,2.079999924E0,6.300000191E0,2.787200165E1,1.200000000E1
8.187572086E1,5.232649129E1,4.868461700E0,6.965379271E0,2.079999924E0,1.080000019E1,2.894400024E1,1.200000000E1
8.287572060E1,5.232651008E1,4.868464460E0,7.028517638E0,2.069999933E0,9.000000000E0,2.894400024E1,1.200000000E1
8.387572060E1,5.232652866E1,4.868468100E0,7.049053672E0,2.079999924E0,7.599999905E0,2.894400024E1,1.200000000E1
8.487572065E1,5.232654738E1,4.868471340E0,7.060129227E0,2.089999914E0,5.400000095E0,3.001600075E1,1.200000000E1
8.587572075E1,5.232656622E1,4.868472840E0,7.046057473E0,2.079999924E0,5.699999809E0,3.001600075E1,1.200000000E1
8.687572070E1,5.232658512E1,4.868475800E0,7.043033999E0,2.099999905E0,1.089999962E1,2.894400024E1,8.000000000E0
8.787572060E1,5.232660404E1,4.868481230E0,7.034396729E0,2.109999895E0,1.239999962E1,3.001600075E1,1.200000000E1
8.887571976E1,5.232662279E1,4.868486180E0,7.065187657E0,2.099999905E0,8.800000191E0,2.894400024E1,8.000000000E0
8.987572091E1,5.232664200E1,4.868484880E0,7.058316974E0,2.089999914E0,3.700000048E0,2.894400024E1,8.000000000E0
9.087572075E1,5.232665984E1,4.868488300E0,7.200433874E0,2.089999914E0,3.598999939E2,2.894400024E1,8.000000000E0
9.187572060E1,5.232667918E1,4.868483630E0,7.180194752E0,2.089999914E0,3.583999939E2,3.001600075E1,8.000000000E0
9.287572060E1,5.232669791E1,4.868484640E0,7.175521977E0,2.099999905E0,8.000000119E-1,3.108800125E1,1.200000000E1
9.387572044E1,5.232671665E1,4.868486580E0,7.185620255E0,2.099999905E0,3.099999905E0,3.108800125E1,1.200000000E1
9.487572060E1,5.232673554E1,4.868483740E0,7.193823927E0,2.099999905E0,2.599999905E0,3.215999985E1,1.200000000E1
9.587572096E1,5.232675575E1,4.868475150E0,7.102599906E0,2.109999895E0,1.299999952E0,3.001600075E1,8.000000000E0
9.687572055E1,5.232677637E1,4.868462320E0,7.045919940E0,2.130000114E0,1.000000015E-1,3.108800125E1,8.000000000E0
9.787572028E1,5.232679635E1,4.868447940E0,7.010356352E0,2.119999886E0,2.099999905E0,3.108800125E1,8.000000000E0
9.887572023E1,5.232681556E1,4.868438990E0,7.020876323E0,2.109999895E0,3.597999878E2,3.108800125E1,8.000000000E0
9.987572008E1,5.232683454E1,4.868434320E0,7.109035132E0,2.109999895E0,5.400000095E0,3.323200226E1,1.200000000E1
1.008757206E2,5.232685340E1,4.868439150E0,7.017023412E0,2.109999895E0,1.180000019E1,3.537599945E1,1.200000000E1
1.018757205E2,5.232687051E1,4.868454090E0,7.066982772E0,2.099999905E0,1.700000000E1,3.430400085E1,1.200000000E1
1.028757210E2,5.232688745E1,4.868470370E0,7.129699006E0,2.079999924E0,1.530000019E1,3.323200226E1,1.200000000E1
1.038757206E2,5.232690355E1,4.868490990E0,7.082431183E0,2.069999933E0,1.670000076E1,3.537599945E1,1.200000000E1
1.048757200E2,5.232691878E1,4.868513490E0,7.035407349E0,2.049999952E0,1.110000038E1,3.323200226E1,1.200000000E1
1.058757206E2,5.232693510E1,4.868530990E0,7.031411981E0,2.049999952E0,1.089999962E1,3.215999985E1,1.200000000E1
1.068757200E2,5.232695183E1,4.868534120E0,7.030826958E0,2.049999952E0,1.169999981E1,3.001600075E1,1.200000000E1
1.078757201E2,5.232696904E1,4.868530130E0,7.097194113E0,1.950000048E0,1.039999962E1,3.108800125E1,1.200000000E1
1.088757208E2,5.232698585E1,4.868529830E0,7.152088202E0,1.899999976E0,1.030000019E1,3.323200226E1,1.200000000E1
1.098757210E2,5.232700226E1,4.868532460E0,7.111097170E0,1.940000057E0,1.119999981E1,3.644800186E1,1.200000000E1
1.108757210E2,5.232701863E1,4.868534470E0,7.109351333E0,1.970000029E0,1.180000019E1,3.323200226E1,1.200000000E1
1.118757199E2,5.232703455E1,4.868540770E0,7.041750378E0,1.980000019E0,1.169999981E1,3.323200226E1,1.200000000E1
1.128757209E2,5.232705043E1,4.868546710E0,6.953214102E0,1.980000019E0,3.597000122E2,3.215999985E1,1.200000000E1
1.138757205E2,5.232706735E1,4.868548190E0,6.931388170E0,1.980000019E0,3.542000122E2,3.108800125E1,1.200000000E1
1.148757209E2,5.232708474E1,4.868544780E0,6.980910207E0,2.000000000E0,3.477000122E2,3.001600075E1,1.200000000E1
1.158757208E2,5.232710197E1,4.868538110E0,7.016758283E0,2.019999981E0,3.408999939E2,3.001600075E1,1.200000000E1
1.168757201E2,5.232711950E1,4.868528840E0,7.067558910E0,2.019999981E0,3.426000061E2,3.108800125E1,1.200000000E1
1.178757206E2,5.232713687E1,4.868521740E0,7.068006546E0,2.019999981E0,3.415000000E2,3.215999985E1,1.200000000E1
1.188757210E2,5.232715225E1,4.868508880E0,7.383328466E0,2.029999971E0,3.468999939E2,3.001600075E1,1.200000000E1
1.198757210E2,5.232716829E1,4.868502930E0,7.439499985E0,2.029999971E0,3.515000000E2,3.001600075E1,1.200000000E1
1.208757203E2,5.232718536E1,4.868503630E0,7.388865225E0,2.029999971E0,3.533999939E2,3.108800125E1,1.200000000E1
1.218757199E2,5.232720272E1,4.868500590E0,7.418428935E0,2.140000105E0,3.516000061E2,3.108800125E1,1.200000000E1
1.228757203E2,5.232722001E1,4.868493330E0,7.473258691E0,2.140000105E0,3.492000122E2,3.215999985E1,1.200000000E1
1.238757204E2,5.232723719E1,4.868491720E0,7.400161830E0,2.140000105E0,3.482999878E2,3.215999985E1,1.200000000E1
1.248757201E2,5.232725395E1,4.868488820E0,7.424658857E0,2.140000105E0,3.483999939E2,3.215999985E1,1.200000000E1
1.258757201E2,5.232727107E1,4.868484700E0,7.419309503E0,2.140000105E0,3.452000122E2,3.215999985E1,1.200000000E1
1.268757208E2,5.232728775E1,4.868475740E0,7.430863505E0,2.140000105E0,3.457000122E2,3.108800125E1,1.200000000E1
1.278757206E2,5.232730277E1,4.868464940E0,7.582123593E0,2.140000105E0,3.463999939E2,2.894400024E1,1.200000000E1
1.288757209E2,5.232731690E1,4.868478660E0,1.090228070E1,2.150000095E0,3.431000061E2,1.393600082E1,1.200000000E1
1.298757206E2,5.232733577E1,4.868498440E0,1.268893964E1,2.190000057E0,3.270000076E1,1.286400032E1,8.000000000E0
1.308757208E2,5.232735817E1,4.868513010E0,1.298377928E1,2.220000029E0,2.170000076E1,1.179199982E1,8.000000000E0
1.318757209E2,5.232737732E1,4.868531170E0,1.181658027E1,2.190000057E0,3.020000076E1,1.179199982E1,8.000000000E0
1.328757199E2,5.232739354E1,4.868536640E0,1.167012184E1,2.180000067E0,1.169999981E1,1.179199982E1,8.000000000E0
1.338757205E2,5.232741251E1,4.868540100E0,1.188743566E1,2.200000048E0,6.400000095E0,1.179199982E1,1.200000000E1
1.348757210E2,5.232742824E1,4.868539670E0,1.066828031E1,2.170000076E0,3.590000000E2,1.179199982E1,1.200000000E1
1.358757208E2,5.232744263E1,4.868540180E0,8.303432682E0,2.170000076E0,1.200000048E0,1.179199982E1,1.200000000E1
1.368757206E2,5.232745957E1,4.868539290E0,1.029515523E1,2.180000067E0,3.582000122E2,1.179199982E1,1.200000000E1
1.378757205E2,5.232747576E1,4.868542100E0,1.024867083E1,2.160000086E0,6.099999905E0,1.286400032E1,1.200000000E1
1.388757202E2,5.232749208E1,4.868537490E0,1.027127417E1,2.160000086E0,3.502000122E2,1.286400032E1,1.200000000E1
