"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.332699129E0,5.659121275E-1,1.593363047E0,-1.491993070E-1
1.337756941E0,5.659121275E-1,1.594428182E0,-1.662435383E-1
1.342814754E0,5.627163649E-1,1.577383995E0,-1.859509051E-1
1.347872618E0,5.595205426E-1,1.525718689E0,-1.997993290E-1
1.352956681E0,5.531290174E-1,1.464998722E0,-2.131151259E-1
1.358014493E0,5.387479067E-1,1.406941891E0,-2.248330265E-1
1.363072358E0,5.275626779E-1,1.350482941E0,-2.365509272E-1
1.368130170E0,5.264974236E-1,1.288164973E0,-2.418772280E-1
1.373187983E0,5.227689743E-1,1.250880718E0,-2.354856580E-1
1.378245847E0,5.163773894E-1,1.248217583E0,-2.243003845E-1
1.383287827E0,5.089205503E-1,1.276447177E0,-2.077888101E-1
1.388345639E0,5.046594739E-1,1.311600804E0,-1.923424900E-1
1.393403504E0,5.041268468E-1,1.330775499E0,-1.779614240E-1
1.398461316E0,5.041268468E-1,1.334503889E0,-1.566561610E-1
1.403519181E0,4.998657107E-1,1.328644991E0,-1.300245672E-1
1.408576993E0,4.812236428E-1,1.315861821E0,-1.135129780E-1
1.413658295E0,4.572551847E-1,1.287099719E0,-9.646876156E-2
1.418716108E0,4.300909638E-1,1.251945972E0,-7.942454517E-2
1.423773972E0,4.002636075E-1,1.215727091E0,-6.557612121E-2
1.428831785E0,3.800235987E-1,1.170985937E0,-5.172769725E-2
1.433889597E0,3.720341325E-1,1.140093327E0,-3.415085003E-2
1.438947462E0,3.683056831E-1,1.140093327E0,-1.870452985E-2
1.443989806E0,3.746972680E-1,1.163529158E0,-1.127681346E-3
1.449047618E0,3.906762302E-1,1.209335446E0,1.059021708E-2
1.454105483E0,4.109162390E-1,1.278577566E0,9.524953552E-3
1.459163295E0,4.236994088E-1,1.366461873E0,1.272074319E-2
1.464221160E0,4.466025829E-1,1.441030264E0,1.857969351E-2
1.469278972E0,4.785604477E-1,1.464466095E0,2.976495959E-2
1.474310795E0,5.019962788E-1,1.468727112E0,4.521128163E-2
1.479368608E0,5.174426436E-1,1.462335587E0,6.172286719E-2
1.484426472E0,5.227689743E-1,1.451150298E0,8.356077224E-2
1.489484285E0,5.158447623E-1,1.432508111E0,9.740920365E-2
1.494542150E0,5.067899823E-1,1.395756602E0,1.064639390E-1
1.499600014E0,4.956046641E-1,1.348884940E0,1.117902622E-1
1.504693243E0,4.801583588E-1,1.303078771E0,1.155186743E-1
1.509751056E0,4.652446508E-1,1.261533380E0,1.197797284E-1
1.514808920E0,4.508636296E-1,1.221053362E0,1.197797284E-1
1.519866733E0,4.380804300E-1,1.191758633E0,1.149860471E-1
1.524924545E0,4.258299172E-1,1.178442836E0,1.075292006E-1
1.529982410E0,4.167751670E-1,1.176844954E0,9.794183075E-2
1.535042254E0,4.050572813E-1,1.193889141E0,8.196288347E-2
1.540100066E0,3.890783489E-1,1.237564921E0,5.746181309E-2
1.545157931E0,3.816214800E-1,1.275381804E0,3.189548850E-2
1.550215743E0,3.810888529E-1,1.282305956E0,8.992321789E-3
