"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.233056840E-1,-2.885370493E0,-4.767203927E-1,8.675163984E-1
7.283461530E-1,-2.928513527E0,-4.895035625E-1,9.937501550E-1
7.334206320E-1,-2.993494749E0,-5.315814018E-1,1.106668234E0
7.385271940E-1,-3.063269377E0,-5.832467079E-1,1.176442981E0
7.435347460E-1,-3.115467310E0,-6.205309629E-1,1.212661982E0
7.485778710E-1,-3.145294666E0,-6.540867090E-1,1.218520880E0
7.536529760E-1,-3.159143209E0,-7.126762867E-1,1.222781897E0
7.588034440E-1,-3.174057007E0,-7.893752456E-1,1.238760948E0
7.637659960E-1,-3.202818871E0,-8.735309839E-1,1.259000897E0
7.688164650E-1,-3.244896889E0,-9.523605108E-1,1.278175592E0
7.738816730E-1,-3.282713652E0,-9.933731556E-1,1.308535695E0
7.790233920E-1,-3.302421093E0,-9.939058423E-1,1.334634542E0
7.839979230E-1,-3.309345245E0,-9.726005197E-1,1.334102035E0
7.890799550E-1,-3.293899059E0,-9.449036717E-1,1.308002949E0
7.941136530E-1,-3.266202211E0,-8.980321288E-1,1.252076745E0
7.991811010E-1,-3.201220989E0,-8.389099836E-1,1.177508235E0
8.042254760E-1,-3.096292496E0,-7.984299064E-1,1.089623928E0
8.092842780E-1,-2.958340883E0,-7.142741680E-1,9.889565110E-1
8.143436010E-1,-2.809204102E0,-5.576804280E-1,8.973438144E-1
8.194198510E-1,-2.648349285E0,-4.037498534E-1,8.265038133E-1
8.244594860E-1,-2.498679638E0,-2.769834995E-1,7.530006170E-1
8.295347980E-1,-2.362325907E0,-1.582065970E-1,6.704427004E-1
8.345753190E-1,-2.219048262E0,-3.729920089E-2,5.623185039E-1
8.396348510E-1,-2.083227158E0,1.081092656E-1,4.419437051E-1
8.446861530E-1,-1.964982510E0,2.689640522E-1,3.348847330E-1
8.497637050E-1,-1.862717271E0,4.058504105E-1,2.597836554E-1
8.548046940E-1,-1.778028727E0,4.457978010E-1,2.043899447E-1
8.598632880E-1,-1.690677166E0,3.877409399E-1,1.399414986E-1
8.649205800E-1,-1.580955029E0,3.211619556E-1,6.430780143E-2
8.699804760E-1,-1.445133924E0,2.774861455E-1,-1.205911743E-3
8.750350590E-1,-1.284279108E0,2.673661411E-1,-5.180592835E-2
8.801097460E-1,-1.115434885E0,3.211619556E-1,-8.482909203E-2
8.851537050E-1,-9.199590087E-1,4.276883304E-1,-8.056803793E-2
8.902079760E-1,-6.983842254E-1,6.039894223E-1,-2.091328613E-2
8.952642260E-1,-4.677547216E-1,8.335537314E-1,7.176464051E-2
9.003650590E-1,-2.333967388E-1,1.057259083E0,1.591162384E-1
9.053807360E-1,-2.300719544E-2,1.221842289E0,2.235646844E-1
9.104289130E-1,1.506307572E-1,1.275638103E0,2.491310090E-1
9.154954760E-1,3.125508130E-1,1.256463408E0,2.422067970E-1
9.205832360E-1,4.766013622E-1,1.214385509E0,2.299562693E-1
9.256153710E-1,6.550330520E-1,1.168046474E0,2.251625806E-1
9.306669860E-1,8.515741825E-1,1.107859135E0,2.214341611E-1
9.357255800E-1,1.064626932E0,1.052998066E0,2.145099491E-1
9.407969340E-1,1.262233377E0,9.976043701E-1,2.043899447E-1
9.458435480E-1,1.437469125E0,9.070569277E-1,1.793562472E-1
9.509007880E-1,1.604715466E0,7.472674251E-1,1.111793965E-1
9.559641730E-1,1.789005995E0,5.363452435E-1,-1.079328358E-2
9.610153710E-1,2.002591133E0,3.248903751E-1,-1.769744009E-1
9.660748510E-1,2.218307018E0,1.826777160E-1,-3.436881304E-1
9.711106320E-1,2.388216496E0,8.147767186E-2,-4.784439802E-1
9.761786530E-1,2.500069380E0,2.927976660E-2,-5.620672107E-1
9.812579230E-1,2.558126211E0,3.886714205E-2,-6.068082452E-1
9.863243300E-1,2.580496550E0,1.443282366E-1,-6.291787624E-1
9.913668820E-1,2.577833414E0,2.678987682E-1,-6.387661695E-1
9.964142780E-1,2.557593346E0,3.717619777E-1,-6.392987967E-1
1.001448444E0,2.523504972E0,4.979957044E-1,-6.201240420E-1
1.006526726E0,2.503797531E0,6.487305164E-1,-5.849703550E-1
1.011599590E0,2.510721922E0,7.984000444E-1,-5.476861000E-1
1.016658184E0,2.558658600E0,9.491348267E-1,-5.077387094E-1
1.021692611E0,2.635357618E0,1.079629660E0,-4.779113531E-1
1.026800215E0,2.738688231E0,1.154730678E0,-4.688566029E-1
1.031826153E0,2.867052317E0,1.143012762E0,-4.864334464E-1
1.036907507E0,3.007667303E0,1.058856964E0,-5.359681845E-1
1.041942663E0,3.144021034E0,9.336885214E-1,-6.004166603E-1
1.047019538E0,3.295288563E0,7.877474427E-1,-6.723219752E-1
1.052066934E0,3.471589565E0,6.700357795E-1,-7.431619763E-1
1.057114538E0,3.644694805E0,5.885431767E-1,-8.102735877E-1
1.062167559E0,3.777852774E0,4.985283315E-1,-8.661999106E-1
1.067257871E0,3.855617046E0,3.621746004E-1,-9.082778096E-1
1.072281517E0,3.880650759E0,1.635029763E-1,-9.301156998E-1
1.077356986E0,3.885444403E0,-6.286553293E-2,-9.397031069E-1
1.082383184E0,3.868400335E0,-2.386340052E-1,-9.642041922E-1
1.087442403E0,3.848692894E0,-3.062782586E-1,-1.011608243E0
1.092512507E0,3.841768742E0,-2.578087449E-1,-1.068067193E0
1.097571517E0,3.837507486E0,-1.022802815E-1,-1.114406228E0
1.102626465E0,3.834844351E0,1.358061284E-1,-1.142635703E0
1.107672038E0,3.841768742E0,3.946651220E-1,-1.130385160E0
1.112743236E0,3.860410929E0,5.683031082E-1,-1.052088380E0
1.117773601E0,3.875324488E0,5.954673290E-1,-9.152020216E-1
1.122858288E0,3.872661352E0,4.814841449E-1,-7.389009595E-1
1.127925684E0,3.855084419E0,2.790840566E-1,-5.567408204E-1
1.132975892E0,3.831115961E0,4.951977357E-2,-3.905597329E-1
1.138037455E0,3.809278011E0,-1.715223938E-1,-2.504775822E-1
1.143089121E0,3.801821232E0,-3.691287935E-1,-1.540712267E-1
1.148145476E0,3.807680130E0,-5.092108846E-1,-9.867752343E-2
1.153201778E0,3.832713842E0,-5.571477413E-1,-6.458909065E-2
1.158276101E0,3.871063471E0,-5.150698423E-1,-4.701224342E-2
1.163321257E0,3.907814980E0,-4.223919511E-1,-3.689223900E-2
1.168349798E0,3.934979200E0,-3.004193008E-1,-2.304381505E-2
1.173436101E0,3.931783438E0,-1.773813516E-1,2.222988382E-2
1.178477976E0,3.886509657E0,-1.209223941E-1,9.413518012E-2
1.183546517E0,3.795962334E0,-1.491518617E-1,1.804215014E-1
1.188611569E0,3.667598009E0,-2.498192787E-1,2.741647065E-1
1.193662976E0,3.520059109E0,-3.994888067E-1,3.668426275E-1
1.198794434E0,3.361867428E0,-5.198635459E-1,4.525963366E-1
1.203780996E0,3.204741240E0,-5.827140808E-1,5.356869102E-1
1.208831413E0,3.058267355E0,-5.923014283E-1,5.932111144E-1
1.213888601E0,2.926707268E0,-5.757898688E-1,6.113205552E-1
1.218962246E0,2.796212673E0,-5.699309111E-1,5.846889615E-1
1.224011778E0,2.649206161E0,-6.162698865E-1,5.314257741E-1
1.229080371E0,2.488351345E0,-7.254593968E-1,4.834889770E-1
1.234124642E0,2.311517477E0,-8.644763231E-1,4.584552944E-1
1.239162403E0,2.117107153E0,-9.843184352E-1,4.509984553E-1
