"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
8.805057831E1,-1.307435799E1,4.473043442E1,-1.522029877E1
8.806057831E1,-1.276422310E1,4.455758667E1,-1.722252655E1
8.807057831E1,-1.307213306E1,4.397717285E1,-1.629486847E1
8.808057831E1,-1.338072872E1,4.427427673E1,-1.584169769E1
8.809057831E1,-1.245730114E1,4.486170578E1,-1.690888214E1
8.810057831E1,-1.107052422E1,4.398435974E1,-1.779280853E1
8.811057831E1,-1.091563511E1,4.209122849E1,-1.637416840E1
8.812057831E1,-1.076412487E1,4.429543304E1,-1.701497650E1
8.813057831E1,-1.106764030E1,4.249868774E1,-1.854935455E1
8.814057831E1,-9.068193436E0,4.383719254E1,-1.975324249E1
8.815057831E1,-1.152853489E1,4.291770172E1,-1.964902496E1
8.816057831E1,-1.075996876E1,4.250335693E1,-1.854175568E1
8.817057831E1,-1.091180801E1,4.204026794E1,-1.977828217E1
8.818057831E1,-9.987346649E0,4.174555969E1,-2.068047333E1
8.819057831E1,-1.075887012E1,4.219927979E1,-1.915727997E1
8.820057831E1,-1.014438629E1,4.308843994E1,-1.946181488E1
8.821057831E1,-1.122189808E1,4.380450821E1,-1.980643463E1
8.822057831E1,-1.014221573E1,4.262536621E1,-2.084926605E1
8.823057831E1,-9.834956169E0,4.205661011E1,-1.975168610E1
8.824057831E1,-8.756134987E0,4.175728607E1,-2.111428070E1
8.825057831E1,-1.152967072E1,4.249863434E1,-1.809656525E1
8.826057831E1,-1.014221573E1,4.262536621E1,-2.084926605E1
8.827057831E1,-9.375123024E0,4.266483307E1,-1.897347260E1
8.828057831E1,-9.992051125E0,4.368967438E1,-1.884592438E1
8.829057831E1,-1.014390087E1,4.235834122E1,-1.898905182E1
8.830057831E1,-9.995063782E0,4.401923370E1,-1.652835846E1
8.831057831E1,-1.107353592E1,4.431392670E1,-1.547524261E1
8.832057831E1,-1.092166901E1,4.463192749E1,-1.408226776E1
8.833057831E1,-1.000059414E1,4.481650543E1,-1.251384735E1
8.834057831E1,-9.387675285E0,4.572651291E1,-1.142578888E1
8.835057831E1,-1.184741306E1,4.436479187E1,-1.131644440E1
8.836057831E1,-1.077499294E1,4.487432098E1,-7.890846252E0
8.837057831E1,-1.169863987E1,4.544763184E1,-8.075218201E0
8.838057831E1,-1.093067741E1,4.547551727E1,-6.973091125E0
8.839057831E1,-1.185541439E1,4.447134399E1,-4.198707581E0
8.840057831E1,-1.170361996E1,4.609285736E1,-4.368476868E0
8.841057831E1,-1.308736801E1,4.562730408E1,-4.552261353E0
8.842057831E1,-1.170509434E1,4.654666901E1,-3.599945068E0
8.843057831E1,-1.078379059E1,4.643874359E1,-1.873367310E0
8.844057831E1,-1.186120129E1,4.570620346E1,-4.988098145E-1
8.845057831E1,-1.432561779E1,4.614350891E1,1.601539612E0
8.846057831E1,-1.417297173E1,4.601696396E1,2.844909668E0
8.847057831E1,-1.248248672E1,4.592071533E1,4.590484619E0
8.848057831E1,-1.248248672E1,4.592071533E1,4.590484619E0
8.849057831E1,-1.340661144E1,4.534255219E1,6.276603699E0
8.850057831E1,-1.340661144E1,4.534255219E1,6.276603699E0
8.851057831E1,-1.171577835E1,4.524166870E1,7.712707520E0
8.852057831E1,-1.371553802E1,4.463094711E1,8.289093018E0
8.853057831E1,-1.371473217E1,4.404130936E1,8.295944214E0
8.854057831E1,-1.248786163E1,4.497918701E1,1.063706970E1
8.855057831E1,-1.310073471E1,4.291075134E1,1.095530701E1
8.856057831E1,-1.325574112E1,4.451602173E1,1.000427246E1
8.857057831E1,-1.494846916E1,4.362904358E1,1.152008820E1
8.858057831E1,-1.233337498E1,4.338086700E1,1.205229950E1
8.859057831E1,-1.310382843E1,4.367559052E1,1.280354309E1
8.860057831E1,-1.325777435E1,4.425363159E1,1.217396545E1
8.861057831E1,-1.310282135E1,4.293854523E1,1.281210327E1
8.862057831E1,-1.433353710E1,4.306496429E1,1.262525940E1
